acq_date,count,max_brightness,max_bright_t31,max_frp,state,fire_area
2019-10-01,12,54,26,26.7,Victoria,9.42
2019-10-02,3,56,28,37.9,Victoria,2.36
2019-10-03,15,126,34,271.9,Victoria,11.78
2019-10-05,2,56,26,21.6,Victoria,1.57
2019-10-10,4,55,28,23.5,Victoria,3.14
2019-10-12,1,47,21,16.6,Victoria,0.79
2019-10-14,5,57,37,18.9,Victoria,3.93
2019-10-15,8,50,33,24.4,Victoria,6.28
2019-10-20,1,35,23,32.5,Victoria,0.79
2019-10-21,15,121,45,213.2,Victoria,11.78
2019-10-22,5,51,30,68.8,Victoria,3.93
2019-10-23,7,125,39,354.6,Victoria,5.5
2019-10-24,3,44,31,6.2,Victoria,2.36
2019-10-27,2,46,9,21.0,Victoria,1.57
2019-10-28,2,47,23,15.1,Victoria,1.57
2019-10-29,1,66,33,91.0,Victoria,0.79
2019-10-30,3,43,30,7.2,Victoria,2.36
2019-11-08,3,41,24,11.9,Victoria,2.36
2019-11-10,1,41,28,9.4,Victoria,0.79
2019-11-11,1,37,21,3.4,Victoria,0.79
2019-11-15,2,32,8,11.9,Victoria,1.57
2019-11-16,1,42,28,9.7,Victoria,0.79
2019-11-17,4,48,33,10.4,Victoria,3.14
2019-11-18,14,52,33,26.3,Victoria,11.0
2019-11-19,1,30,17,4.2,Victoria,0.79
2019-11-21,9,34,16,9.1,Victoria,7.07
2019-11-22,87,142,37,506.4,Victoria,68.33
2019-11-23,53,76,23,330.3,Victoria,41.63
2019-11-24,108,112,35,170.3,Victoria,84.82
2019-11-25,140,186,38,1938.2,Victoria,109.96
2019-11-27,15,65,36,113.8,Victoria,11.78
2019-11-28,23,100,27,245.3,Victoria,18.06
2019-11-29,96,128,38,260.3,Victoria,75.4
2019-11-30,6,49,10,23.5,Victoria,4.71
2019-12-02,2,30,11,8.4,Victoria,1.57
2019-12-03,1,35,19,7.5,Victoria,0.79
2019-12-04,4,46,31,25.6,Victoria,3.14
2019-12-05,12,62,26,42.0,Victoria,9.42
2019-12-06,32,74,27,69.7,Victoria,25.13
2019-12-07,34,63,14,39.4,Victoria,26.7
2019-12-08,66,88,31,111.9,Victoria,51.84
2019-12-09,175,127,28,369.6,Victoria,137.44
2019-12-10,61,92,38,96.4,Victoria,47.91
2019-12-11,1,45,27,7.0,Victoria,0.79
2019-12-12,8,58,18,30.4,Victoria,6.28
2019-12-13,7,64,10,58.6,Victoria,5.5
2019-12-14,24,75,13,114.2,Victoria,18.85
2019-12-15,5,74,44,38.5,Victoria,3.93
2019-12-16,45,75,41,227.5,Victoria,35.34
2019-12-17,103,106,32,271.6,Victoria,80.9
2019-12-18,71,89,30,366.1,Victoria,55.76
2019-12-19,106,209,58,1224.3,Victoria,83.25
2019-12-20,419,232,126,5485.2,Victoria,329.08
2019-12-21,195,118,40,484.5,Victoria,153.15
2019-12-22,220,182,54,784.7,Victoria,172.79
2019-12-23,24,61,26,154.1,Victoria,18.85
2019-12-24,80,120,32,219.8,Victoria,62.83
2019-12-25,166,97,32,1059.7,Victoria,130.38
2019-12-26,206,144,37,370.0,Victoria,161.79
2019-12-27,121,90,32,468.2,Victoria,95.03
2019-12-28,5,65,11,65.0,Victoria,3.93
2019-12-29,220,201,49,5251.2,Victoria,172.79
2019-12-30,1680,231,126,3604.6,Victoria,1319.47
2019-12-31,268,110,42,260.9,Victoria,210.49
2020-01-01,504,112,32,641.6,Victoria,395.84
2020-01-02,885,228,126,1842.8,Victoria,695.08
2020-01-03,1063,226,75,3596.6,Victoria,834.88
2020-01-04,1142,233,126,1976.1,Victoria,896.92
2020-01-07,24,81,41,95.8,Victoria,18.85
2020-01-08,82,162,40,553.7,Victoria,64.4
2020-01-09,180,126,48,325.3,Victoria,141.37
2020-01-10,13,88,30,417.8,Victoria,10.21
2020-01-11,135,130,39,268.7,Victoria,106.03
