brightness,acq_date,bright_t31,frp,state
323.7,2019-10-01,304.5,13.9,New South Wales
325.6,2019-10-01,306.8,14.5,New South Wales
325.3,2019-10-01,308.1,13.2,New South Wales
319.3,2019-10-01,304.2,7.7,New South Wales
345.6,2019-10-01,309,49,New South Wales
321.4,2019-10-01,303.3,17.6,New South Wales
329.9,2019-10-01,308.7,17.6,New South Wales
354.6,2019-10-01,310.7,73.6,New South Wales
331.6,2019-10-01,306,22,New South Wales
314.6,2019-10-01,300.4,8.2,New South Wales
326.8,2019-10-01,305.9,17.6,New South Wales
316.3,2019-10-01,294.7,49.4,New South Wales
317.5,2019-10-01,296.8,57.2,New South Wales
359.4,2019-10-01,315.7,126.5,New South Wales
319,2019-10-01,305.1,30.4,New South Wales
327.2,2019-10-01,310.7,23,New South Wales
307.7,2019-10-01,296.7,16.1,New South Wales
309.8,2019-10-01,298.3,21.1,New South Wales
300.6,2019-10-01,287.7,10.1,New South Wales
318.2,2019-10-02,302,9,New South Wales
325.7,2019-10-02,312.9,12.4,New South Wales
333.2,2019-10-02,316.5,15.5,New South Wales
323.8,2019-10-02,299.1,19.6,New South Wales
329.7,2019-10-02,315.1,9.2,New South Wales
337,2019-10-02,317.3,21.8,New South Wales
332.1,2019-10-02,307.9,17.2,New South Wales
324.2,2019-10-02,304,18.8,New South Wales
336.8,2019-10-02,314,26.3,New South Wales
314.7,2019-10-02,284.9,45.9,New South Wales
308,2019-10-02,283.7,31.2,New South Wales
301.5,2019-10-02,286.8,7.8,New South Wales
309,2019-10-02,285,22,New South Wales
306.1,2019-10-02,282.6,18.6,New South Wales
324.4,2019-10-03,306.6,20.9,New South Wales
349.1,2019-10-03,306.8,84.9,New South Wales
315.2,2019-10-03,300.8,7,New South Wales
318.3,2019-10-03,302.4,11.7,New South Wales
325.4,2019-10-03,308,9.7,New South Wales
324.1,2019-10-03,310.8,6,New South Wales
333.3,2019-10-03,310.6,17.6,New South Wales
330.1,2019-10-03,310.2,13.2,New South Wales
328.8,2019-10-03,315.6,8.9,New South Wales
314.8,2019-10-03,297,14,New South Wales
335.7,2019-10-03,313.2,18.5,New South Wales
328.9,2019-10-03,314.4,9.2,New South Wales
329.7,2019-10-03,313.7,15.3,New South Wales
329,2019-10-03,311.5,11.9,New South Wales
326.1,2019-10-03,306.1,17.7,New South Wales
320.7,2019-10-03,306.1,9.8,New South Wales
329,2019-10-03,309.8,29.9,New South Wales
326.6,2019-10-03,311.9,23,New South Wales
323.1,2019-10-03,312.5,8.1,New South Wales
312.2,2019-10-03,287.2,20.2,New South Wales
303.6,2019-10-03,286.2,9.3,New South Wales
303.4,2019-10-03,285.9,9.5,New South Wales
303.7,2019-10-03,286.3,9,New South Wales
303.5,2019-10-03,286.8,11.1,New South Wales
302.5,2019-10-03,289.5,13.2,New South Wales
302.6,2019-10-03,289.4,14.7,New South Wales
300.5,2019-10-03,285.2,18.5,New South Wales
316.1,2019-10-04,298.2,9,New South Wales
336.7,2019-10-04,307.6,31.8,New South Wales
322.6,2019-10-04,298.5,16.2,New South Wales
357.4,2019-10-04,309.1,72.9,New South Wales
322.9,2019-10-04,301.5,14.9,New South Wales
363.6,2019-10-04,307.6,90.9,New South Wales
342.3,2019-10-04,301.2,39.1,New South Wales
338.5,2019-10-04,308.1,29.7,New South Wales
337.1,2019-10-04,303.2,30.6,New South Wales
341.8,2019-10-04,305.4,36,New South Wales
319.3,2019-10-04,307.3,8.7,New South Wales
331.1,2019-10-04,309.9,26.9,New South Wales
324.5,2019-10-04,307.9,17.6,New South Wales
335.2,2019-10-04,309.5,35,New South Wales
326,2019-10-04,310.6,23,New South Wales
310.7,2019-10-04,283.8,34.9,New South Wales
305.9,2019-10-04,284.8,32.8,New South Wales
306.9,2019-10-04,288.9,21.4,New South Wales
301.4,2019-10-04,284.3,25.3,New South Wales
315.1,2019-10-04,290.1,39,New South Wales
313.3,2019-10-04,288.2,35.4,New South Wales
302.2,2019-10-04,289.1,14.2,New South Wales
307.8,2019-10-04,289.2,23.3,New South Wales
301.7,2019-10-04,289,14.1,New South Wales
311.9,2019-10-04,289.6,32.3,New South Wales
304.6,2019-10-04,288.6,17.3,New South Wales
301.6,2019-10-04,288.2,12.8,New South Wales
320.8,2019-10-04,290.1,53.1,New South Wales
302.2,2019-10-04,281.5,24.8,New South Wales
308.4,2019-10-04,289.3,23.6,New South Wales
304.1,2019-10-04,288.7,17.3,New South Wales
304.9,2019-10-04,288.4,16.6,New South Wales
328.2,2019-10-05,314,10.8,New South Wales
328.6,2019-10-05,315,11.6,New South Wales
313.7,2019-10-05,282.2,13.7,New South Wales
301.8,2019-10-05,288,5.5,New South Wales
302.9,2019-10-05,286.3,6.2,New South Wales
302.9,2019-10-05,288.2,6.2,New South Wales
303.4,2019-10-05,286.8,6.6,New South Wales
332.1,2019-10-06,311.8,43.5,New South Wales
340.7,2019-10-06,292.1,49.8,New South Wales
307.2,2019-10-06,288.7,11.7,New South Wales
303.8,2019-10-06,288.6,11,New South Wales
319,2019-10-06,289.8,28.7,New South Wales
315.7,2019-10-06,289.6,23.9,New South Wales
300.8,2019-10-06,287.8,6.5,New South Wales
303.9,2019-10-06,287.9,9.2,New South Wales
302.2,2019-10-06,288.5,8.9,New South Wales
305.5,2019-10-06,289.3,12.4,New South Wales
314.4,2019-10-06,289.1,22,New South Wales
310.1,2019-10-06,288.3,16.5,New South Wales
309,2019-10-06,289.6,15.4,New South Wales
305,2019-10-06,288.7,9.2,New South Wales
323.1,2019-10-06,288.6,22.5,New South Wales
326.9,2019-10-06,306.5,14.4,New South Wales
334.7,2019-10-06,307.7,25.2,New South Wales
324.6,2019-10-06,308.1,12.5,New South Wales
345,2019-10-06,308.5,43.2,New South Wales
325.7,2019-10-06,307.5,13.5,New South Wales
321.9,2019-10-06,304.3,10.2,New South Wales
321.8,2019-10-06,304.7,11.9,New South Wales
326.2,2019-10-06,307.8,15.4,New South Wales
321.2,2019-10-06,307.6,8.6,New South Wales
330.2,2019-10-06,307.8,19.6,New South Wales
323.5,2019-10-06,307.6,11.1,New South Wales
324.7,2019-10-06,307.9,13.9,New South Wales
329.1,2019-10-06,307.4,20.4,New South Wales
334.2,2019-10-06,307.8,25.8,New South Wales
321.1,2019-10-06,306.3,10.3,New South Wales
320.7,2019-10-06,302.8,30,New South Wales
324.5,2019-10-06,302.7,40.5,New South Wales
320.8,2019-10-06,304.2,30.4,New South Wales
337.5,2019-10-07,296.8,80.9,New South Wales
343,2019-10-07,307.2,118.3,New South Wales
343.2,2019-10-07,308.5,105.9,New South Wales
380.2,2019-10-07,310.1,402.1,New South Wales
347.6,2019-10-07,307.6,127.8,New South Wales
333.7,2019-10-07,305.8,71.6,New South Wales
342.1,2019-10-07,304.8,97.6,New South Wales
338.3,2019-10-07,304.6,81.2,New South Wales
397.3,2019-10-07,311.1,642,New South Wales
325.2,2019-10-07,307.7,34.4,New South Wales
381,2019-10-07,311.7,413.5,New South Wales
348.9,2019-10-07,308.3,148.2,New South Wales
335,2019-10-07,306.8,66.4,New South Wales
338.4,2019-10-07,306.8,88.3,New South Wales
320.9,2019-10-07,303.2,24.9,New South Wales
344.9,2019-10-07,308.7,110.4,New South Wales
371.2,2019-10-07,309.9,309.6,New South Wales
336.8,2019-10-07,308.3,84.1,New South Wales
336.3,2019-10-07,303.5,90.1,New South Wales
393.9,2019-10-07,314.2,590.2,New South Wales
346.7,2019-10-07,305,119.9,New South Wales
328.2,2019-10-07,306.6,37.4,New South Wales
344.3,2019-10-07,304,106.9,New South Wales
361.8,2019-10-07,309.9,235.2,New South Wales
335.9,2019-10-07,305.7,83.9,New South Wales
341.2,2019-10-07,305.4,93.3,New South Wales
341.2,2019-10-07,317.8,30,New South Wales
317.3,2019-10-07,293.7,80.4,New South Wales
315.1,2019-10-07,293.7,66.4,New South Wales
317.1,2019-10-07,294.9,70.4,New South Wales
319.1,2019-10-07,292.6,92.6,New South Wales
322,2019-10-07,294.7,105.7,New South Wales
306.9,2019-10-07,293.7,31.4,New South Wales
313.1,2019-10-07,294.4,54,New South Wales
303,2019-10-07,292.5,23.4,New South Wales
311.1,2019-10-07,292.3,53.2,New South Wales
313.7,2019-10-07,293.2,63.6,New South Wales
309.5,2019-10-07,291.7,44.5,New South Wales
308.8,2019-10-07,292.3,9.4,New South Wales
311.2,2019-10-07,291.2,11.3,New South Wales
305.9,2019-10-07,293.4,5,New South Wales
305.7,2019-10-07,293.7,4.9,New South Wales
314.8,2019-10-07,291.3,12.5,New South Wales
319.5,2019-10-07,291.6,17.4,New South Wales
303.9,2019-10-07,290.7,6.7,New South Wales
327,2019-10-07,296.4,24,New South Wales
336.7,2019-10-07,300.5,37.9,New South Wales
302.7,2019-10-07,288.8,4.7,New South Wales
310.4,2019-10-07,294.2,8.4,New South Wales
341,2019-10-07,300.9,45.2,New South Wales
315.4,2019-10-07,296.5,11.9,New South Wales
316.3,2019-10-07,295.7,12.9,New South Wales
315.4,2019-10-07,293.5,12.9,New South Wales
323.7,2019-10-07,296.3,20.4,New South Wales
323.1,2019-10-07,294.9,20.7,New South Wales
312,2019-10-07,297.6,9.6,New South Wales
317.9,2019-10-07,296.7,15,New South Wales
321.2,2019-10-07,296,17.3,New South Wales
305.4,2019-10-07,294.1,4.3,New South Wales
328.8,2019-10-07,297,25.8,New South Wales
335.1,2019-10-07,297.8,34.5,New South Wales
305.2,2019-10-07,292.8,5.9,New South Wales
324.8,2019-10-07,296.7,21.9,New South Wales
314.6,2019-10-07,293.6,12,New South Wales
310,2019-10-07,294.6,8.2,New South Wales
314.8,2019-10-07,294.7,11.5,New South Wales
313.5,2019-10-07,295.3,10,New South Wales
307,2019-10-07,294.5,5.5,New South Wales
315.1,2019-10-07,295.6,11.2,New South Wales
341,2019-10-07,297.8,43,New South Wales
304.2,2019-10-07,291.6,5.4,New South Wales
311.2,2019-10-07,293.7,9,New South Wales
327.2,2019-10-07,296.3,25.3,New South Wales
323.2,2019-10-07,296.8,18.9,New South Wales
329.5,2019-10-07,297.6,25.7,New South Wales
343,2019-10-07,299.9,47.7,New South Wales
317.1,2019-10-07,292.6,14.4,New South Wales
302.4,2019-10-07,285.9,6,New South Wales
306.7,2019-10-07,289.5,8.6,New South Wales
325.2,2019-10-07,291.1,25.2,New South Wales
307,2019-10-07,292.2,6.9,New South Wales
314.2,2019-10-07,295.1,12,New South Wales
346.3,2019-10-07,298.7,53.1,New South Wales
314.3,2019-10-07,293.6,12.4,New South Wales
330.9,2019-10-07,295.8,29,New South Wales
309.7,2019-10-07,294,8.2,New South Wales
341.8,2019-10-07,297.6,47.2,New South Wales
316.9,2019-10-07,295,13.1,New South Wales
316.1,2019-10-07,294.4,13.1,New South Wales
313.3,2019-10-07,294.6,9.7,New South Wales
351.5,2019-10-07,300.9,65.8,New South Wales
319.2,2019-10-07,292.2,17.1,New South Wales
322.2,2019-10-07,295.6,16.3,New South Wales
318.3,2019-10-07,294,15.7,New South Wales
330.4,2019-10-07,297.4,27.6,New South Wales
319.4,2019-10-07,295.8,15,New South Wales
301,2019-10-07,290.7,4.7,New South Wales
317.8,2019-10-07,295.3,15.5,New South Wales
308.6,2019-10-07,293.3,8.1,New South Wales
306.3,2019-10-07,293.7,5.7,New South Wales
317.4,2019-10-08,299,40.2,New South Wales
339.7,2019-10-08,298.5,161.7,New South Wales
337.6,2019-10-08,303.6,123.5,New South Wales
319.3,2019-10-08,302.1,41.5,New South Wales
338.3,2019-10-08,298.5,147.3,New South Wales
315.7,2019-10-08,295.9,39.8,New South Wales
328.8,2019-10-08,298.8,89.4,New South Wales
323.4,2019-10-08,300.4,65.3,New South Wales
322.5,2019-10-08,301.2,57.4,New South Wales
