brightness,acq_date,bright_t31,frp,state
319.5,2019-10-01,290.8,21.2,Victoria
327.8,2019-10-01,291,26.7,Victoria
317.9,2019-10-01,299.1,11,Victoria
318.3,2019-10-01,299.5,11.1,Victoria
303.3,2019-10-01,291.3,4.9,Victoria
304.3,2019-10-01,291.8,5.6,Victoria
306.2,2019-10-01,292.9,4.1,Victoria
306.9,2019-10-01,292.4,6.5,Victoria
308.1,2019-10-01,294,5.2,Victoria
306.7,2019-10-01,292.2,3.7,Victoria
310,2019-10-01,293.8,8.6,Victoria
321.2,2019-10-01,293.7,18.4,Victoria
330.1,2019-10-02,292.6,37.9,Victoria
321.2,2019-10-02,293.2,22.6,Victoria
321.6,2019-10-02,302,21.7,Victoria
315,2019-10-03,303.8,6.3,Victoria
315.2,2019-10-03,304.5,6.4,Victoria
315.3,2019-10-03,300.7,9.2,Victoria
322.1,2019-10-03,301.7,16.6,Victoria
325.1,2019-10-03,302.4,19.4,Victoria
315.3,2019-10-03,299.5,8.3,Victoria
316.3,2019-10-03,300.8,9.6,Victoria
400,2019-10-03,307.3,271.9,Victoria
328.5,2019-10-03,299.7,25,Victoria
313.4,2019-10-03,301.3,14.7,Victoria
312.4,2019-10-03,301,12.7,Victoria
313.1,2019-10-03,300.5,13.5,Victoria
314.9,2019-10-03,302.1,16.6,Victoria
307.9,2019-10-03,296.7,7.2,Victoria
313.9,2019-10-03,296.8,10.8,Victoria
307.5,2019-10-05,293.9,7.9,Victoria
329.4,2019-10-05,299.6,21.6,Victoria
328.9,2019-10-10,298.6,23.5,Victoria
324.6,2019-10-10,299.6,17.7,Victoria
310.7,2019-10-10,298.6,5,Victoria
316.8,2019-10-10,302.1,12.1,Victoria
320.2,2019-10-12,294.7,16.6,Victoria
320.6,2019-10-14,297.7,14.5,Victoria
321.2,2019-10-14,294.5,16.3,Victoria
330.5,2019-10-14,310.4,18.9,Victoria
319.8,2019-10-14,302.2,10,Victoria
315.7,2019-10-14,301.8,6.1,Victoria
324,2019-10-15,306.7,16.9,Victoria
318.4,2019-10-15,305.2,9.7,Victoria
305.6,2019-10-15,295.3,8.9,Victoria
320,2019-10-15,293.6,22.7,Victoria
312.7,2019-10-15,293.3,12.6,Victoria
312.9,2019-10-15,296.6,11.6,Victoria
310.8,2019-10-15,295,24.4,Victoria
308.2,2019-10-15,296.1,14.3,Victoria
309.1,2019-10-20,297,32.5,Victoria
302.8,2019-10-21,290,6.8,Victoria
332.4,2019-10-21,303.6,49.3,Victoria
327.9,2019-10-21,303.6,37.6,Victoria
316.4,2019-10-21,297.2,16.8,Victoria
318.4,2019-10-21,297.2,21.2,Victoria
309.9,2019-10-21,296.9,8.6,Victoria
307.2,2019-10-21,295.2,5.4,Victoria
314.4,2019-10-21,294.9,9.9,Victoria
325.5,2019-10-21,298.2,20.5,Victoria
329.5,2019-10-21,312.7,14.6,Victoria
350.6,2019-10-21,305.9,54.7,Victoria
394.6,2019-10-21,318.8,213.2,Victoria
332.2,2019-10-21,308.5,21.5,Victoria
365.5,2019-10-21,310.5,92.9,Victoria
341.3,2019-10-21,310,35.7,Victoria
305,2019-10-22,292.1,6,Victoria
307.1,2019-10-22,295.8,10.8,Victoria
324.5,2019-10-22,303.7,29,Victoria
307.4,2019-10-22,295.1,8.8,Victoria
321.8,2019-10-22,303.1,68.8,Victoria
398.8,2019-10-23,311.1,354.6,Victoria
328,2019-10-23,303.8,30.4,Victoria
331.4,2019-10-23,311.5,19.5,Victoria
333.1,2019-10-23,313,21.9,Victoria
323.2,2019-10-23,311.1,8.8,Victoria
317.5,2019-10-23,305.2,8.4,Victoria
319.3,2019-10-23,307.1,11,Victoria
316.1,2019-10-24,303.6,4.3,Victoria
317.6,2019-10-24,304.2,6.2,Victoria
316.9,2019-10-24,303.7,5.6,Victoria
319.5,2019-10-27,282.3,21,Victoria
306.7,2019-10-27,281.2,10.9,Victoria
318.4,2019-10-28,296.2,13.7,Victoria
320.5,2019-10-28,297.1,15.1,Victoria
339.7,2019-10-29,306.9,91,Victoria
310.3,2019-10-30,298.5,7.2,Victoria
315.6,2019-10-30,302,6.9,Victoria
317.1,2019-10-30,303.3,2.8,Victoria
314.2,2019-11-08,297.5,11.9,Victoria
309.5,2019-11-08,292.6,5.1,Victoria
309.8,2019-11-08,293.6,5,Victoria
314.7,2019-11-10,301.3,9.4,Victoria
310.2,2019-11-11,294.4,3.4,Victoria
304.7,2019-11-15,280.5,11,Victoria
306.1,2019-11-15,281.3,11.9,Victoria
315.2,2019-11-16,302,9.7,Victoria
314.6,2019-11-17,297.7,7.7,Victoria
312.7,2019-11-17,295.2,8.1,Victoria
314.5,2019-11-17,298.5,7.1,Victoria
321.4,2019-11-17,306.2,10.4,Victoria
310.7,2019-11-18,297.8,7.7,Victoria
320.1,2019-11-18,300.4,12.2,Victoria
309.5,2019-11-18,296,6.5,Victoria
314.3,2019-11-18,302.6,5,Victoria
317.8,2019-11-18,302.3,9.8,Victoria
312.8,2019-11-18,294.2,4.7,Victoria
315.8,2019-11-18,296.1,8,Victoria
313.6,2019-11-18,293.9,6.6,Victoria
316.3,2019-11-18,295.8,7.1,Victoria
317,2019-11-18,298.4,5.5,Victoria
316.5,2019-11-18,296.4,5.7,Victoria
320.9,2019-11-18,306.3,6.6,Victoria
324.5,2019-11-18,306.1,23.9,Victoria
325.2,2019-11-18,305.8,26.3,Victoria
304,2019-11-19,290.6,4.2,Victoria
302.3,2019-11-21,280.5,6.1,Victoria
308.1,2019-11-21,284.2,9.1,Victoria
304.9,2019-11-21,284.7,6.9,Victoria
304.5,2019-11-21,279.8,6.4,Victoria
302.9,2019-11-21,277.7,5.6,Victoria
301.3,2019-11-21,286.4,4.1,Victoria
300.9,2019-11-21,281,4.4,Victoria
303.2,2019-11-21,290,5,Victoria
300.7,2019-11-21,289.3,3.4,Victoria
309.3,2019-11-22,294.9,7.8,Victoria
314.1,2019-11-22,296.5,11.2,Victoria
315.3,2019-11-22,294.5,10.8,Victoria
313.1,2019-11-22,295.4,8.7,Victoria
313.8,2019-11-22,294.9,10.9,Victoria
321.5,2019-11-22,295.5,18.6,Victoria
315.8,2019-11-22,295.2,12.3,Victoria
