brightness,acq_date,bright_t31,frp,state
338.6,2019-10-01,316.9,38,Western Australia
363.2,2019-10-01,313.6,76.7,Western Australia
331.6,2019-10-01,313.1,13.7,Western Australia
347.9,2019-10-01,314.4,40.8,Western Australia
341.6,2019-10-01,311.6,29.2,Western Australia
336.5,2019-10-01,314.9,23.2,Western Australia
331.7,2019-10-01,312.2,15.6,Western Australia
341,2019-10-01,312.6,33,Western Australia
337.7,2019-10-01,314.9,22.3,Western Australia
332.3,2019-10-01,311.3,15.8,Western Australia
330.4,2019-10-01,319,14.6,Western Australia
338.3,2019-10-01,314.8,25.4,Western Australia
342.1,2019-10-01,314.1,34.7,Western Australia
347.7,2019-10-01,310.1,48.7,Western Australia
385.3,2019-10-01,317.1,207.4,Western Australia
358.3,2019-10-01,311.6,80.3,Western Australia
343.1,2019-10-01,317.8,28.4,Western Australia
332.4,2019-10-01,314.3,12,Western Australia
333,2019-10-01,310.5,42.8,Western Australia
331.6,2019-10-01,309.9,37.8,Western Australia
335.1,2019-10-01,316.2,14.7,Western Australia
335.8,2019-10-01,314.2,14.7,Western Australia
343.3,2019-10-01,313.5,32.7,Western Australia
368.6,2019-10-01,315.9,93.1,Western Australia
339.4,2019-10-01,313.9,23.7,Western Australia
336.3,2019-10-01,312.1,18.5,Western Australia
351.1,2019-10-01,315.4,84.3,Western Australia
375.5,2019-10-01,318.6,224.5,Western Australia
367.7,2019-10-01,318.3,174.2,Western Australia
339.2,2019-10-01,317.6,41,Western Australia
342.7,2019-10-01,317.2,29,Western Australia
344.3,2019-10-01,317.3,32.4,Western Australia
343.1,2019-10-01,321.1,31.5,Western Australia
349.4,2019-10-01,319.8,48.4,Western Australia
355.3,2019-10-01,318.2,70.3,Western Australia
337.8,2019-10-01,318.8,20.1,Western Australia
331.5,2019-10-01,311.7,14.1,Western Australia
363.5,2019-10-01,315.3,93.5,Western Australia
335,2019-10-01,320.7,15.9,Western Australia
350,2019-10-01,313.2,43.4,Western Australia
344.2,2019-10-01,318.5,38.6,Western Australia
346.3,2019-10-01,321.9,41.4,Western Australia
346.6,2019-10-01,320.2,43.7,Western Australia
342.9,2019-10-01,319.6,29.3,Western Australia
347.6,2019-10-01,321.9,42,Western Australia
338.9,2019-10-01,320,24.3,Western Australia
323.4,2019-10-01,309.8,8.7,Western Australia
323.4,2019-10-01,308.9,8.7,Western Australia
326.8,2019-10-01,294.4,27.3,Western Australia
332.3,2019-10-01,292.3,37.3,Western Australia
335.1,2019-10-01,312.1,47.7,Western Australia
365.5,2019-10-01,318.3,214.5,Western Australia
349.8,2019-10-01,319.3,89.6,Western Australia
343,2019-10-01,313.2,81.4,Western Australia
399.4,2019-10-01,323.2,620.7,Western Australia
351.5,2019-10-01,321.4,106.8,Western Australia
350.1,2019-10-01,321.8,98.6,Western Australia
350.8,2019-10-01,316.9,114.4,Western Australia
370.3,2019-10-01,320.5,253,Western Australia
342.7,2019-10-01,315.2,70.3,Western Australia
357.8,2019-10-01,319.5,150,Western Australia
399.5,2019-10-01,322.8,622.1,Western Australia
377.4,2019-10-01,321,312.3,Western Australia
343.6,2019-10-01,319.9,52.5,Western Australia
343,2019-10-01,321,59.7,Western Australia
337.5,2019-10-01,320.1,13,Western Australia
338.8,2019-10-01,320.3,16.2,Western Australia
339,2019-10-01,318.7,19.8,Western Australia
339.5,2019-10-01,318,25.6,Western Australia
353.3,2019-10-01,318.3,59.3,Western Australia
336.3,2019-10-01,317.8,16.4,Western Australia
353.6,2019-10-01,321.2,58.7,Western Australia
345.9,2019-10-01,318,37.5,Western Australia
348.2,2019-10-01,321.5,39.3,Western Australia
367.3,2019-10-01,322.4,104.6,Western Australia
339.8,2019-10-01,316.2,28.4,Western Australia
345.9,2019-10-01,322.6,33,Western Australia
393.1,2019-10-01,331,244.2,Western Australia
377.9,2019-10-01,321.8,163.2,Western Australia
335,2019-10-01,311.9,27.7,Western Australia
331.8,2019-10-01,309,21.6,Western Australia
337.9,2019-10-01,313.5,42.3,Western Australia
346.7,2019-10-01,320.3,80.7,Western Australia
330.7,2019-10-01,319.5,18.4,Western Australia
338.7,2019-10-01,317.9,38.9,Western Australia
344.5,2019-10-01,319.5,64.1,Western Australia
334.8,2019-10-01,317.1,24.7,Western Australia
339.8,2019-10-01,316.4,45.1,Western Australia
386.6,2019-10-01,319.3,400.7,Western Australia
345.3,2019-10-01,318.5,70.6,Western Australia
331.5,2019-10-01,308,82.4,Western Australia
331.5,2019-10-01,309.2,84.5,Western Australia
343.1,2019-10-01,312.3,49.6,Western Australia
362.4,2019-10-01,311.6,339.7,Western Australia
341.9,2019-10-01,310.8,128.7,Western Australia
361.9,2019-10-01,312,333,Western Australia
334,2019-10-01,315.3,67.5,Western Australia
344.8,2019-10-01,315.2,151.5,Western Australia
334.4,2019-10-01,316.5,67.7,Western Australia
369.5,2019-10-01,313.7,442.9,Western Australia
370.7,2019-10-01,317.9,455.4,Western Australia
390,2019-10-01,316.2,841.6,Western Australia
356.1,2019-10-01,317.5,263.7,Western Australia
330.9,2019-10-01,313,63.2,Western Australia
342.1,2019-10-01,308.7,177.1,Western Australia
344.5,2019-10-01,308,206.9,Western Australia
329.6,2019-10-01,308,67.9,Western Australia
357.8,2019-10-01,312.2,289.5,Western Australia
380.4,2019-10-01,317.4,632.7,Western Australia
331.7,2019-10-01,314.9,47.3,Western Australia
356,2019-10-01,312.8,271.4,Western Australia
344.9,2019-10-01,316.1,156,Western Australia
356.4,2019-10-01,312.3,274.3,Western Australia
349,2019-10-01,315.1,191.2,Western Australia
367.6,2019-10-01,313.9,423.3,Western Australia
366.8,2019-10-01,317.1,406,Western Australia
360.9,2019-10-01,314,333.7,Western Australia
337.3,2019-10-01,315.7,94.2,Western Australia
374.6,2019-10-01,313.9,538.2,Western Australia
340.1,2019-10-01,314.8,115.4,Western Australia
328.8,2019-10-01,306.4,57.8,Western Australia
369.9,2019-10-01,313.9,463.8,Western Australia
335.9,2019-10-01,314.7,88.7,Western Australia
341.2,2019-10-01,309.2,135.7,Western Australia
333.8,2019-10-01,310.9,77.8,Western Australia
328.1,2019-10-01,311.8,36,Western Australia
331.6,2019-10-01,301.4,39.4,Western Australia
316.1,2019-10-01,300.6,13.6,Western Australia
314,2019-10-01,287,17.7,Western Australia
308.6,2019-10-01,284.6,17.6,Western Australia
306.2,2019-10-01,285.4,14.5,Western Australia
307.2,2019-10-01,284.5,16.8,Western Australia
313.3,2019-10-01,285.6,25.2,Western Australia
328.3,2019-10-01,300.1,23.2,Western Australia
349.2,2019-10-01,299.3,64.2,Western Australia
308,2019-10-01,297.3,5.1,Western Australia
319.4,2019-10-01,299.3,13.7,Western Australia
355.5,2019-10-01,302,72.1,Western Australia
312,2019-10-01,298.5,9.8,Western Australia
316.3,2019-10-01,297.7,13.5,Western Australia
311.1,2019-10-01,297.5,9,Western Australia
315.8,2019-10-01,296.9,13.8,Western Australia
324.2,2019-10-01,297.5,36.9,Western Australia
323,2019-10-01,297.2,35.2,Western Australia
317.4,2019-10-01,296.3,22.8,Western Australia
325.6,2019-10-01,297.1,40.3,Western Australia
317.3,2019-10-01,296.8,22.5,Western Australia
326.2,2019-10-01,298,41.2,Western Australia
311.4,2019-10-01,295.8,13.7,Western Australia
310.4,2019-10-01,296.1,12.1,Western Australia
326.2,2019-10-01,297.5,42.3,Western Australia
312.4,2019-10-01,297.2,16.2,Western Australia
313.6,2019-10-01,296.5,17.8,Western Australia
330.8,2019-10-01,297.1,53.9,Western Australia
324,2019-10-01,297.5,22.4,Western Australia
311.2,2019-10-01,296.5,12.3,Western Australia
333.5,2019-10-01,297.5,61.3,Western Australia
311.4,2019-10-01,298.3,13.6,Western Australia
315.3,2019-10-01,297.7,10.3,Western Australia
309.2,2019-10-01,297.3,5.7,Western Australia
323.2,2019-10-01,298.6,16.8,Western Australia
312.1,2019-10-01,298.4,6.2,Western Australia
341.1,2019-10-01,299.8,40.7,Western Australia
327.2,2019-10-01,299.8,20.1,Western Australia
333.4,2019-10-01,299.5,29,Western Australia
326.8,2019-10-01,299.9,20.5,Western Australia
307,2019-10-01,296.1,6.5,Western Australia
308.8,2019-10-01,296.6,7,Western Australia
309.7,2019-10-01,295.6,8.1,Western Australia
324.6,2019-10-01,300.2,18.5,Western Australia
309.8,2019-10-01,298.5,6.1,Western Australia
306.8,2019-10-01,295.6,6.4,Western Australia
306.1,2019-10-01,295.6,5.6,Western Australia
389.5,2019-10-01,302.7,214.2,Western Australia
315.1,2019-10-01,298,11.7,Western Australia
316.2,2019-10-01,299.3,9.6,Western Australia
342,2019-10-01,301.7,42.9,Western Australia
323,2019-10-01,299.6,17.1,Western Australia
309.8,2019-10-01,296.7,7.9,Western Australia
307.1,2019-10-01,296.7,4.9,Western Australia
335.7,2019-10-01,300.7,32.8,Western Australia
357,2019-10-01,301.9,75.3,Western Australia
339.6,2019-10-01,301.3,39.6,Western Australia
311.5,2019-10-01,296.8,9.3,Western Australia
309.8,2019-10-01,296.7,7.7,Western Australia
337.1,2019-10-01,300.7,40.5,Western Australia
315.1,2019-10-01,297.3,12.1,Western Australia
308.6,2019-10-01,297.3,7.1,Western Australia
328.5,2019-10-01,297.8,45.2,Western Australia
335.1,2019-10-01,298.2,61.9,Western Australia
317.4,2019-10-01,296.9,22.6,Western Australia
313.6,2019-10-01,297,16.4,Western Australia
322.7,2019-10-01,296.8,33,Western Australia
305.4,2019-10-01,295.2,8,Western Australia
309.4,2019-10-01,294.7,23.8,Western Australia
304.5,2019-10-01,294.4,13.3,Western Australia
311.1,2019-10-01,294.7,25.5,Western Australia
322,2019-10-01,294.8,54.5,Western Australia
310.4,2019-10-01,294.6,25.1,Western Australia
307.6,2019-10-01,294.3,19.6,Western Australia
314.5,2019-10-01,294.9,33.2,Western Australia
309.6,2019-10-01,294.7,21.9,Western Australia
313.7,2019-10-01,297.2,18.8,Western Australia
320.5,2019-10-01,297.8,29.2,Western Australia
310.9,2019-10-01,297.1,13.7,Western Australia
311.8,2019-10-01,296.7,15.1,Western Australia
320.4,2019-10-01,297.2,28.3,Western Australia
316.5,2019-10-01,292.1,29.5,Western Australia
310.2,2019-10-01,291.3,19.5,Western Australia
305.5,2019-10-01,290.9,13.6,Western Australia
309.4,2019-10-01,291.3,18.8,Western Australia
326.6,2019-10-02,303.8,98.5,Western Australia
324.4,2019-10-02,303.7,74.4,Western Australia
316.9,2019-10-02,303.1,46.3,Western Australia
325,2019-10-02,302.9,94,Western Australia
325.9,2019-10-02,302.9,104.7,Western Australia
329.6,2019-10-02,314.6,24.6,Western Australia
337.3,2019-10-02,295.4,117.6,Western Australia
336.2,2019-10-02,298,122.4,Western Australia
319.7,2019-10-02,296.5,52.9,Western Australia
343.9,2019-10-02,317.5,106.3,Western Australia
333.3,2019-10-02,311.2,18.4,Western Australia
334.7,2019-10-02,312,18.8,Western Australia
341.8,2019-10-02,312.1,35.1,Western Australia
352.2,2019-10-02,312.5,62.2,Western Australia
338.1,2019-10-02,313.6,23.4,Western Australia
333,2019-10-02,313.7,16.5,Western Australia
333,2019-10-02,310.1,16.4,Western Australia
341.6,2019-10-02,318.1,103.8,Western Australia
352,2019-10-02,319,87.7,Western Australia
341.9,2019-10-02,318.2,100,Western Australia
338,2019-10-02,316.6,75.4,Western Australia
339.7,2019-10-02,318.2,92.9,Western Australia
336.5,2019-10-02,317.7,61.9,Western Australia
342.6,2019-10-02,317,99.1,Western Australia
352.8,2019-10-02,318.1,89.4,Western Australia
371.9,2019-10-02,318.6,204.8,Western Australia
340.1,2019-10-02,319,36.5,Western Australia
342,2019-10-02,317.6,98.2,Western Australia
337.4,2019-10-02,317.6,77.7,Western Australia
331.5,2019-10-02,308.8,13.3,Western Australia
351.1,2019-10-02,310.5,52.7,Western Australia
342.4,2019-10-02,321.6,40,Western Australia
338.4,2019-10-02,321.7,27.9,Western Australia
336,2019-10-02,319.8,20.7,Western Australia
344.3,2019-10-02,313.6,39.8,Western Australia
334.7,2019-10-02,322,19.1,Western Australia
345.8,2019-10-02,309.6,71.1,Western Australia
337.2,2019-10-02,302.4,39.9,Western Australia
345.7,2019-10-02,309.4,39.7,Western Australia
351,2019-10-02,311.4,51.5,Western Australia
357.6,2019-10-02,310.5,69.9,Western Australia
331.8,2019-10-02,317.4,44,Western Australia
371.6,2019-10-02,321.4,210,Western Australia
351.4,2019-10-02,312.6,54.3,Western Australia
344.5,2019-10-02,312.8,70.5,Western Australia
337.7,2019-10-02,318.7,33.9,Western Australia
326.2,2019-10-02,307.5,7.4,Western Australia
336.7,2019-10-02,312.5,35.2,Western Australia
346.2,2019-10-02,317.7,60.3,Western Australia
345.3,2019-10-02,318.4,59.7,Western Australia
353.2,2019-10-02,319.4,97.9,Western Australia
310.6,2019-10-02,299.9,31.7,Western Australia
326.8,2019-10-02,301.2,122.4,Western Australia
314.2,2019-10-02,300.6,44.2,Western Australia
325.5,2019-10-02,300.7,115.7,Western Australia
308,2019-10-02,297.9,22.1,Western Australia
330.6,2019-10-02,300.8,145.9,Western Australia
337.9,2019-10-02,302.5,213.3,Western Australia
336.7,2019-10-03,314,24.8,Western Australia
361.2,2019-10-03,322.5,87.4,Western Australia
362,2019-10-03,319.9,90.4,Western Australia
342,2019-10-03,321.1,19.7,Western Australia
346.2,2019-10-03,320.8,25.6,Western Australia
361.5,2019-10-03,322.8,62.7,Western Australia
367.1,2019-10-03,325,83.6,Western Australia
357.1,2019-10-03,323.6,51.7,Western Australia
345.7,2019-10-03,322.5,27.6,Western Australia
382.6,2019-10-03,322.6,141.7,Western Australia
391,2019-10-03,326.7,179.4,Western Australia
363.2,2019-10-03,324.7,68.5,Western Australia
345.1,2019-10-03,322.7,27.5,Western Australia
340.4,2019-10-03,322,19.6,Western Australia
335.1,2019-10-03,320.3,10.7,Western Australia
345.6,2019-10-03,322,30,Western Australia
335,2019-10-03,317,14.5,Western Australia
339.2,2019-10-03,318.2,20.4,Western Australia
342.7,2019-10-03,318,28.3,Western Australia
332.4,2019-10-03,318.1,11.3,Western Australia
333.3,2019-10-03,312.4,14.8,Western Australia
336.8,2019-10-03,316.8,17.2,Western Australia
350.4,2019-10-03,318.3,39.5,Western Australia
367,2019-10-03,324,81.4,Western Australia
373.2,2019-10-03,327.2,100.2,Western Australia
363.7,2019-10-03,325.7,67.1,Western Australia
347.3,2019-10-03,322.4,28.2,Western Australia
355.5,2019-10-03,318.1,49.9,Western Australia
357.4,2019-10-03,322.8,52,Western Australia
356,2019-10-03,324.5,46.1,Western Australia
347.2,2019-10-03,323.4,26,Western Australia
337.5,2019-10-03,319.8,16.7,Western Australia
346.8,2019-10-03,317.6,32.7,Western Australia
355.2,2019-10-03,321.8,50.1,Western Australia
354.1,2019-10-03,316.5,68.4,Western Australia
348.2,2019-10-03,319.1,48.2,Western Australia
339.1,2019-10-03,319.3,24,Western Australia
349.8,2019-10-03,319,48.5,Western Australia
336.9,2019-10-03,316.5,22.8,Western Australia
335.3,2019-10-03,315.1,18.9,Western Australia
333.4,2019-10-03,316.5,12.7,Western Australia
347.3,2019-10-03,318.6,35.5,Western Australia
343.7,2019-10-03,319.4,27.5,Western Australia
336.7,2019-10-03,320.4,13.6,Western Australia
345.7,2019-10-03,317.9,34.9,Western Australia
338,2019-10-03,320.2,18.8,Western Australia
332.5,2019-10-03,316.8,10.8,Western Australia
348.3,2019-10-03,317.8,37.3,Western Australia
380.5,2019-10-03,326.2,133.3,Western Australia
352.8,2019-10-03,314.9,55,Western Australia
343.5,2019-10-03,318.1,31.8,Western Australia
343.7,2019-10-03,314.2,33.4,Western Australia
344.5,2019-10-03,318.2,33.8,Western Australia
339.7,2019-10-03,317.4,24.1,Western Australia
341.8,2019-10-03,316,27.3,Western Australia
354.2,2019-10-03,313.9,58.3,Western Australia
359.2,2019-10-03,317.7,70.7,Western Australia
345.2,2019-10-03,315,40.3,Western Australia
329,2019-10-03,315.7,10.7,Western Australia
330.8,2019-10-03,316,9.4,Western Australia
340.8,2019-10-03,315.7,26.9,Western Australia
351.1,2019-10-03,323.8,43.2,Western Australia
355.6,2019-10-03,323.2,52.3,Western Australia
342.2,2019-10-03,321.2,20.9,Western Australia
363,2019-10-03,316.9,73.7,Western Australia
436.6,2019-10-03,334.1,531.3,Western Australia
387.9,2019-10-03,326,165.6,Western Australia
368.7,2019-10-03,323.2,84.1,Western Australia
357.8,2019-10-03,322.7,50.3,Western Australia
383.8,2019-10-03,322.4,146.4,Western Australia
404.6,2019-10-03,331.7,253.5,Western Australia
369.1,2019-10-03,325.1,121.7,Western Australia
377.5,2019-10-03,326.8,111,Western Australia
365.3,2019-10-03,324.2,68.4,Western Australia
366.6,2019-10-03,319.6,80.4,Western Australia
348.8,2019-10-03,323.2,30.7,Western Australia
360.1,2019-10-03,323,58.5,Western Australia
359.9,2019-10-03,321.6,61.4,Western Australia
346.7,2019-10-03,319.2,33.7,Western Australia
332.6,2019-10-03,319.9,9.1,Western Australia
346,2019-10-03,323,26.2,Western Australia
337.5,2019-10-03,318.9,22.3,Western Australia
342.3,2019-10-03,323.8,23.7,Western Australia
338.9,2019-10-03,322.6,17.9,Western Australia
341,2019-10-03,324.2,22.1,Western Australia
349.8,2019-10-03,322.8,33.8,Western Australia
344.8,2019-10-03,322.8,31.2,Western Australia
331.7,2019-10-03,315.5,15,Western Australia
340.3,2019-10-03,314.9,32,Western Australia
357.4,2019-10-03,323,69.6,Western Australia
365.4,2019-10-03,324.8,102.6,Western Australia
361.9,2019-10-03,324.8,89.6,Western Australia
412.5,2019-10-03,331.5,310.1,Western Australia
360.8,2019-10-03,319.2,63.6,Western Australia
347.1,2019-10-03,322.7,30.6,Western Australia
337.3,2019-10-03,321.2,21.3,Western Australia
351.6,2019-10-03,321.6,55.8,Western Australia
383.1,2019-10-03,322.8,200.1,Western Australia
336.5,2019-10-03,316.8,22,Western Australia
363.2,2019-10-03,322.7,97.3,Western Australia
353.5,2019-10-03,320.1,64,Western Australia
366.3,2019-10-03,322.4,112.7,Western Australia
341.7,2019-10-03,318.7,33.1,Western Australia
335.4,2019-10-03,320,11.6,Western Australia
334.6,2019-10-03,322,9.2,Western Australia
339.4,2019-10-03,321.3,16.8,Western Australia
345.3,2019-10-03,322.8,28.3,Western Australia
342.2,2019-10-03,320.9,23.7,Western Australia
334.4,2019-10-03,321.2,11.5,Western Australia
340.1,2019-10-03,318.2,30.6,Western Australia
410.2,2019-10-03,324.6,409.2,Western Australia
369.1,2019-10-03,319.3,126.2,Western Australia
406.7,2019-10-03,325.3,380.9,Western Australia
367.4,2019-10-03,323.3,115.9,Western Australia
365.1,2019-10-03,321.1,114.4,Western Australia
