acq_date,count,max_brightness,max_bright_t31,max_frp,state
2019-10-01,54,103,52,463.8,South Australia
2019-10-02,4,46,23,66.4,South Australia
2019-10-03,17,109,49,250.9,South Australia
2019-10-04,321,180,126,740.3,South Australia
2019-10-05,487,226,75,2045.5,South Australia
2019-10-06,66,84,45,118.4,South Australia
2019-10-07,13,63,36,64.0,South Australia
2019-10-08,24,90,42,292.0,South Australia
2019-10-09,33,103,44,164.6,South Australia
2019-10-10,14,81,43,149.1,South Australia
2019-10-11,95,224,126,1811.9,South Australia
2019-10-12,11,84,36,588.1,South Australia
2019-10-13,11,85,43,61.0,South Australia
2019-10-14,6,72,37,37.9,South Australia
2019-10-15,2,49,25,16.0,South Australia
2019-10-17,2,54,37,22.4,South Australia
2019-10-18,3,85,45,109.1,South Australia
2019-10-19,4,58,35,54.5,South Australia
2019-10-20,5,70,21,151.8,South Australia
2019-10-21,3,45,35,18.8,South Australia
2019-10-22,11,127,50,299.4,South Australia
2019-10-23,1,29,17,6.0,South Australia
2019-10-24,48,104,46,231.5,South Australia
2019-10-25,79,153,49,568.8,South Australia
2019-10-26,35,79,44,198.7,South Australia
2019-10-27,52,95,49,201.1,South Australia
2019-10-28,58,137,56,817.8,South Australia
2019-10-29,40,132,57,263.3,South Australia
2019-10-30,62,178,72,739.8,South Australia
2019-10-31,41,121,60,335.2,South Australia
2019-11-01,1,55,36,36.6,South Australia
2019-11-02,49,170,66,1146.7,South Australia
2019-11-03,21,92,48,172.5,South Australia
2019-11-04,9,61,44,52.1,South Australia
2019-11-05,34,96,53,158.5,South Australia
2019-11-06,12,97,47,141.8,South Australia
2019-11-07,21,95,56,94.7,South Australia
2019-11-08,2,69,43,25.1,South Australia
2019-11-09,8,98,51,193.8,South Australia
2019-11-10,43,166,57,1286.8,South Australia
2019-11-11,9,82,53,183.7,South Australia
2019-11-12,2,51,32,34.2,South Australia
2019-11-13,10,84,42,117.2,South Australia
2019-11-14,3,70,55,20.6,South Australia
2019-11-18,5,79,46,133.3,South Australia
2019-11-20,1,61,46,14.3,South Australia
2019-11-25,6,85,40,71.4,South Australia
2019-11-26,1,46,31,11.6,South Australia
2019-11-27,1,59,42,13.6,South Australia
2019-12-03,3,50,28,114.1,South Australia
2019-12-07,1,34,21,7.6,South Australia
2019-12-08,4,92,41,215.3,South Australia
2019-12-10,3,52,36,9.5,South Australia
2019-12-11,6,77,48,59.1,South Australia
2019-12-12,2,48,21,12.5,South Australia
2019-12-13,9,97,46,126.2,South Australia
2019-12-14,15,82,54,184.2,South Australia
2019-12-15,11,108,52,347.8,South Australia
2019-12-16,1,41,28,6.9,South Australia
2019-12-17,15,135,50,287.5,South Australia
2019-12-18,39,229,126,2484.7,South Australia
2019-12-19,301,162,61,1361.1,South Australia
2019-12-20,407,231,126,1729.4,South Australia
2019-12-21,148,179,47,1420.5,South Australia
2019-12-22,27,150,48,942.2,South Australia
2019-12-23,72,155,67,1293.5,South Australia
2019-12-24,68,180,57,1297.8,South Australia
2019-12-25,154,164,66,643.7,South Australia
2019-12-26,135,146,53,429.9,South Australia
2019-12-27,210,230,126,2250.8,South Australia
2019-12-28,267,195,67,1861.0,South Australia
2019-12-29,648,152,58,1293.6,South Australia
2019-12-30,648,199,57,4395.6,South Australia
2019-12-31,235,169,56,1305.5,South Australia
2020-01-01,251,220,67,2540.1,South Australia
2020-01-02,275,184,59,1950.6,South Australia
2020-01-03,523,233,126,2189.0,South Australia
2020-01-05,35,232,126,1801.8,South Australia
2020-01-06,70,175,43,2947.3,South Australia
2020-01-07,75,228,126,2503.9,South Australia
2020-01-08,55,132,49,445.4,South Australia
2020-01-09,108,161,57,2153.0,South Australia
2020-01-10,1,47,16,20.8,South Australia
2020-01-11,23,94,32,513.0,South Australia
