acq_date,count,max_brightness,max_bright_t31,max_frp,state
2019-10-01,211,126,57,841.6,Western Australia
2019-10-02,58,98,48,213.3,Western Australia
2019-10-03,295,163,60,1464.1,Western Australia
2019-10-04,137,180,126,827.2,Western Australia
2019-10-05,111,108,46,326.6,Western Australia
2019-10-06,73,135,59,295.1,Western Australia
2019-10-07,28,96,47,152.7,Western Australia
2019-10-08,88,148,56,788.8,Western Australia
2019-10-09,83,92,44,238.9,Western Australia
2019-10-10,234,158,63,1382.2,Western Australia
2019-10-11,191,124,60,352.3,Western Australia
2019-10-12,165,182,65,1159.4,Western Australia
2019-10-13,261,149,58,743.1,Western Australia
2019-10-14,206,172,55,1324.3,Western Australia
2019-10-15,115,151,59,425.1,Western Australia
2019-10-16,101,102,48,443.5,Western Australia
2019-10-17,136,150,58,989.6,Western Australia
2019-10-18,116,136,62,306.3,Western Australia
2019-10-19,155,136,44,381.7,Western Australia
2019-10-20,169,162,57,734.9,Western Australia
2019-10-21,358,217,126,3912.9,Western Australia
2019-10-22,412,211,126,1339.0,Western Australia
2019-10-23,457,228,126,1634.3,Western Australia
2019-10-24,340,144,56,1652.0,Western Australia
2019-10-25,328,179,61,900.6,Western Australia
2019-10-26,290,144,54,1028.5,Western Australia
2019-10-27,343,131,54,1808.6,Western Australia
2019-10-28,309,163,64,1400.1,Western Australia
2019-10-29,256,184,68,798.0,Western Australia
2019-10-30,410,201,126,1718.0,Western Australia
2019-10-31,422,220,126,2621.6,Western Australia
2019-11-01,128,103,51,369.3,Western Australia
2019-11-02,188,113,48,268.0,Western Australia
2019-11-03,302,227,126,1601.3,Western Australia
2019-11-04,671,193,69,1002.4,Western Australia
2019-11-05,417,202,69,3222.9,Western Australia
2019-11-06,405,164,60,1412.4,Western Australia
2019-11-07,365,181,126,1179.2,Western Australia
2019-11-08,255,228,126,2678.0,Western Australia
2019-11-09,280,155,57,1081.3,Western Australia
2019-11-10,512,232,126,1680.4,Western Australia
2019-11-11,296,131,53,632.7,Western Australia
2019-11-12,227,133,56,685.6,Western Australia
2019-11-13,383,229,126,2213.9,Western Australia
2019-11-14,274,130,58,437.5,Western Australia
2019-11-15,359,174,58,1864.8,Western Australia
2019-11-16,372,141,63,1002.8,Western Australia
2019-11-17,612,199,126,1496.0,Western Australia
2019-11-18,484,184,55,1522.5,Western Australia
2019-11-19,445,200,126,6526.5,Western Australia
2019-11-20,506,164,56,542.7,Western Australia
2019-11-21,413,151,58,713.6,Western Australia
2019-11-22,393,160,66,637.4,Western Australia
2019-11-23,406,172,57,2121.9,Western Australia
2019-11-24,490,204,126,1479.1,Western Australia
2019-11-25,419,123,50,565.7,Western Australia
2019-11-26,260,172,59,1181.1,Western Australia
2019-11-27,437,219,64,2686.6,Western Australia
2019-11-28,110,100,51,333.4,Western Australia
2019-11-29,158,117,46,283.9,Western Australia
2019-11-30,192,117,45,239.9,Western Australia
2019-12-01,282,124,60,829.1,Western Australia
2019-12-02,288,174,63,1144.6,Western Australia
2019-12-03,141,143,58,657.6,Western Australia
2019-12-04,339,226,110,2794.1,Western Australia
2019-12-05,176,134,61,922.4,Western Australia
2019-12-06,387,230,126,3446.9,Western Australia
2019-12-07,253,154,65,521.9,Western Australia
2019-12-08,395,176,62,1033.3,Western Australia
2019-12-09,344,152,52,979.6,Western Australia
2019-12-10,257,194,64,2412.1,Western Australia
2019-12-11,337,175,53,750.5,Western Australia
2019-12-12,244,179,61,1800.9,Western Australia
2019-12-13,477,218,126,1603.3,Western Australia
2019-12-14,868,226,126,2257.0,Western Australia
2019-12-15,933,226,126,1603.5,Western Australia
2019-12-16,443,177,53,1909.9,Western Australia
2019-12-17,314,228,126,1604.9,Western Australia
2019-12-18,608,162,60,3283.0,Western Australia
2019-12-19,1006,229,126,1961.3,Western Australia
2019-12-20,445,226,72,2580.8,Western Australia
2019-12-21,549,232,126,2319.1,Western Australia
2019-12-22,312,226,67,1976.0,Western Australia
2019-12-23,153,157,65,553.6,Western Australia
2019-12-24,207,230,59,2965.3,Western Australia
2019-12-25,233,128,52,802.1,Western Australia
2019-12-26,325,201,126,5153.5,Western Australia
2019-12-27,342,202,61,2018.4,Western Australia
2019-12-28,385,183,66,1480.9,Western Australia
2019-12-29,1033,210,126,4281.5,Western Australia
2019-12-30,313,167,126,1154.9,Western Australia
2019-12-31,251,228,126,1656.0,Western Australia
2020-01-01,850,161,59,1835.7,Western Australia
2020-01-02,1197,233,126,2711.2,Western Australia
2020-01-03,60,142,41,547.3,Western Australia
2020-01-04,97,129,52,249.7,Western Australia
2020-01-05,239,226,64,4675.5,Western Australia
2020-01-06,534,185,126,1089.4,Western Australia
2020-01-07,1016,226,108,1612.3,Western Australia
2020-01-08,594,226,68,11164.1,Western Australia
2020-01-09,16,192,65,1071.9,Western Australia
2020-01-10,28,95,42,586.5,Western Australia
2020-01-11,85,176,126,693.6,Western Australia
