brightness,acq_date,bright_t31,frp,state
335.6,2019-10-01,304.4,103.3,Northern Territory
321.1,2019-10-01,298.3,69.9,Northern Territory
319.2,2019-10-01,298.3,55.6,Northern Territory
324.1,2019-10-01,301.8,34.3,Northern Territory
330.1,2019-10-01,304.6,58.5,Northern Territory
325.3,2019-10-01,307.6,32.3,Northern Territory
340.8,2019-10-01,304.4,147.5,Northern Territory
336.1,2019-10-01,302,108,Northern Territory
330.1,2019-10-01,299.9,52.3,Northern Territory
325.2,2019-10-01,299,35.9,Northern Territory
337.4,2019-10-01,304.4,98.3,Northern Territory
325.3,2019-10-01,303,25,Northern Territory
334.6,2019-10-01,305.2,78,Northern Territory
327.2,2019-10-01,306.6,43.6,Northern Territory
327.8,2019-10-01,306.5,39.1,Northern Territory
325,2019-10-01,305.4,31.7,Northern Territory
323.1,2019-10-01,304.6,30.7,Northern Territory
320.3,2019-10-01,298.8,60.1,Northern Territory
322.9,2019-10-01,304.4,33.8,Northern Territory
323.7,2019-10-01,305.9,26,Northern Territory
325,2019-10-01,298.1,97.5,Northern Territory
325.2,2019-10-01,309.1,40.5,Northern Territory
325.7,2019-10-01,309.4,42.7,Northern Territory
328,2019-10-01,309.5,56.8,Northern Territory
328.8,2019-10-01,310.6,56.1,Northern Territory
329.5,2019-10-01,312.5,50.2,Northern Territory
329.6,2019-10-01,314,50.5,Northern Territory
342.9,2019-10-01,313.7,160.5,Northern Territory
345.5,2019-10-01,314.2,188.3,Northern Territory
338,2019-10-01,313.6,113.1,Northern Territory
343.5,2019-10-01,314.8,166.2,Northern Territory
336.6,2019-10-01,311,104.5,Northern Territory
350.4,2019-10-01,310.8,260.1,Northern Territory
338.6,2019-10-01,309.4,138.7,Northern Territory
339.1,2019-10-01,309.6,145.5,Northern Territory
336.6,2019-10-01,310.4,45.7,Northern Territory
333.6,2019-10-01,309.2,35.5,Northern Territory
325.8,2019-10-01,309.5,60.1,Northern Territory
325.9,2019-10-01,309.1,47.4,Northern Territory
328.3,2019-10-01,295.4,137.3,Northern Territory
