brightness,acq_date,bright_t31,frp,state
323.9,2019-10-01,302.3,26.8,Queensland
343.5,2019-10-01,306.3,84.3,Queensland
320.2,2019-10-01,305,14.1,Queensland
320.4,2019-10-01,303.3,18.4,Queensland
349.4,2019-10-01,304.7,110.7,Queensland
328.1,2019-10-01,304.6,32.4,Queensland
324.3,2019-10-01,308.1,24,Queensland
338,2019-10-01,304,66.1,Queensland
329.3,2019-10-01,304.2,34.2,Queensland
331.1,2019-10-01,305.2,40.8,Queensland
337.7,2019-10-01,303.2,62.7,Queensland
323.3,2019-10-01,305.3,18.7,Queensland
329.7,2019-10-01,303.6,40.4,Queensland
340.3,2019-10-01,302.8,73.8,Queensland
337.2,2019-10-01,307.7,40.4,Queensland
322,2019-10-01,296,42.2,Queensland
323.1,2019-10-01,302.7,43.1,Queensland
334,2019-10-01,307.2,43.4,Queensland
324,2019-10-01,307.5,13.3,Queensland
338.2,2019-10-01,307,45.6,Queensland
351.9,2019-10-01,308.9,86.2,Queensland
333.4,2019-10-01,307.1,34.5,Queensland
321.5,2019-10-01,307.8,8.8,Queensland
337,2019-10-01,310.6,38.7,Queensland
333.4,2019-10-01,308.4,30.4,Queensland
341.1,2019-10-01,310.9,58,Queensland
351.7,2019-10-01,313.7,93.3,Queensland
328.7,2019-10-01,310.2,23.1,Queensland
311.9,2019-10-01,301.1,43.5,Queensland
332.9,2019-10-01,311.8,33.3,Queensland
330.8,2019-10-01,307.7,91.6,Queensland
327.7,2019-10-01,306.5,74.6,Queensland
333.5,2019-10-01,312.4,35.2,Queensland
321.8,2019-10-01,300.4,42.1,Queensland
325.5,2019-10-01,299.5,25.5,Queensland
334.4,2019-10-01,303.4,93.9,Queensland
325.4,2019-10-01,309.7,15.7,Queensland
337.5,2019-10-01,302.9,110.6,Queensland
312.4,2019-10-01,301.9,47,Queensland
336,2019-10-01,312.8,33.6,Queensland
340.4,2019-10-01,313.3,48.8,Queensland
339.4,2019-10-01,313.7,45.2,Queensland
326.8,2019-10-01,311.8,14.4,Queensland
319.1,2019-10-01,300.1,25.3,Queensland
329.3,2019-10-01,304.2,63.8,Queensland
322.9,2019-10-01,306.4,40.6,Queensland
333.3,2019-10-01,312.3,32.5,Queensland
321.3,2019-10-01,299.9,41.1,Queensland
334.6,2019-10-01,309.9,20.7,Queensland
