brightness,acq_date,bright_t31,frp,state
321.4,2019-10-01,298.6,18.8,South Australia
318.2,2019-10-01,293.4,15.9,South Australia
349.8,2019-10-01,309.9,341.3,South Australia
351.1,2019-10-01,311,362.3,South Australia
357.1,2019-10-01,310.6,463.8,South Australia
325.5,2019-10-01,309.3,56.4,South Australia
339.9,2019-10-01,309.9,202.8,South Australia
335.8,2019-10-01,317,46.8,South Australia
338.8,2019-10-01,314.1,75.1,South Australia
336,2019-10-01,316.4,59.7,South Australia
336.6,2019-10-01,315.7,64.8,South Australia
368.4,2019-10-01,319,326.7,South Australia
338.4,2019-10-01,314.9,74.9,South Australia
346.3,2019-10-01,315.5,127.6,South Australia
341.4,2019-10-01,316.7,88.4,South Australia
343.3,2019-10-01,315.8,106.7,South Australia
342.8,2019-10-01,316.3,96,South Australia
340.4,2019-10-01,315.3,75.1,South Australia
338.1,2019-10-01,313,70.7,South Australia
324.6,2019-10-01,298.9,20.4,South Australia
327.9,2019-10-01,300.4,23.4,South Australia
376.5,2019-10-01,304.2,146.7,South Australia
318.1,2019-10-01,299.4,16.2,South Australia
337.5,2019-10-01,299.3,44.8,South Australia
315.8,2019-10-01,299.2,12.5,South Australia
338.9,2019-10-01,300.3,46.8,South Australia
332.7,2019-10-01,303.1,34.6,South Australia
314.3,2019-10-01,299.1,9.5,South Australia
362.5,2019-10-01,318.1,235.9,South Australia
341.4,2019-10-01,311,92,South Australia
353,2019-10-01,297.4,160.8,South Australia
373.3,2019-10-01,298.1,346,South Australia
346.5,2019-10-01,319,45.2,South Australia
362.5,2019-10-01,321.9,103.7,South Australia
372.7,2019-10-01,325.7,153.2,South Australia
342.7,2019-10-01,322,32.1,South Australia
346.1,2019-10-01,320.9,41.8,South Australia
304.8,2019-10-01,284.8,6.8,South Australia
307.1,2019-10-01,293.4,6.1,South Australia
319.1,2019-10-01,293.5,15.8,South Australia
333.2,2019-10-01,293.6,31.9,South Australia
313.5,2019-10-01,292.6,10.2,South Australia
301.7,2019-10-01,287.7,4.7,South Australia
309.6,2019-10-01,290.6,8.7,South Australia
317.4,2019-10-01,289.5,15.3,South Australia
303.3,2019-10-01,288.2,5,South Australia
317.4,2019-10-01,286.6,15.8,South Australia
349.3,2019-10-01,289.9,61.4,South Australia
329,2019-10-01,292.6,26.7,South Australia
322.8,2019-10-01,294.3,18.6,South Australia
314.9,2019-10-01,292.8,11,South Australia
315.1,2019-10-01,290.2,13.1,South Australia
326.4,2019-10-01,289.2,24.6,South Australia
303.8,2019-10-01,292.3,7.9,South Australia
319.7,2019-10-02,297.1,33.3,South Australia
315.8,2019-10-02,294.2,66.4,South Australia
315.4,2019-10-02,294.9,64.1,South Australia
301.6,2019-10-02,291.6,5.3,South Australia
342.3,2019-10-03,315.4,46.6,South Australia
382.6,2019-10-03,322.8,250.9,South Australia
339.2,2019-10-03,317.7,34.8,South Australia
334.1,2019-10-03,317.8,21.6,South Australia
359.5,2019-10-03,315.7,112.2,South Australia
348.2,2019-10-03,318.2,66.5,South Australia
334.9,2019-10-03,317.3,26.1,South Australia
365.1,2019-10-03,321.4,139.2,South Australia
332.7,2019-10-03,317.2,17.4,South Australia
342.2,2019-10-03,320.1,42.4,South Australia
358.8,2019-10-03,319.8,109.5,South Australia
327.8,2019-10-03,303.7,19,South Australia
327.4,2019-10-03,302.4,17.6,South Australia
338.6,2019-10-03,304.3,33.4,South Australia
324.5,2019-10-03,302.8,14.7,South Australia
319.6,2019-10-03,302.8,10.2,South Australia
325.8,2019-10-03,294.9,24.4,South Australia
362.7,2019-10-04,313.9,271.6,South Australia
342.2,2019-10-04,310.1,150.6,South Australia
341,2019-10-04,311.5,131.2,South Australia
329.2,2019-10-04,312.8,30,South Australia
328.7,2019-10-04,313.4,35.3,South Australia
336.6,2019-10-04,313.3,70.6,South Australia
337,2019-10-04,312.2,79.6,South Australia
336.1,2019-10-04,311.2,91.2,South Australia
328.3,2019-10-04,312.7,25,South Australia
330.2,2019-10-04,313.9,42,South Australia
326,2019-10-04,311.8,37.3,South Australia
327,2019-10-04,311.4,39.9,South Australia
366,2019-10-04,315.9,317.2,South Australia
327.3,2019-10-04,310.8,44,South Australia
355.1,2019-10-04,315.9,202.7,South Australia
359.9,2019-10-04,314,245.4,South Australia
335.5,2019-10-04,312.4,63.9,South Australia
346.4,2019-10-04,313.6,129.8,South Australia
363.3,2019-10-04,315.4,280.7,South Australia
362.6,2019-10-04,315.9,271,South Australia
340.4,2019-10-04,314.9,92.4,South Australia
333,2019-10-04,311.7,73,South Australia
348.8,2019-10-04,313.5,151,South Australia
338,2019-10-04,312.8,82.8,South Australia
372.4,2019-10-04,314.1,391.3,South Australia
360.3,2019-10-04,314.2,248.7,South Australia
336.6,2019-10-04,312.8,101,South Australia
326.5,2019-10-04,311.5,37.7,South Australia
343.9,2019-10-04,311.4,158.8,South Australia
331.1,2019-10-04,310.3,61.8,South Australia
327.5,2019-10-04,312.3,27.9,South Australia
323.9,2019-10-04,309.2,26,South Australia
346.4,2019-10-04,312.4,183.7,South Australia
328.5,2019-10-04,310.3,53.7,South Australia
337.3,2019-10-04,312.8,108.3,South Australia
350.8,2019-10-04,310.9,232.1,South Australia
336.3,2019-10-04,313.3,72,South Australia
341.3,2019-10-04,314.1,100.9,South Australia
328.9,2019-10-04,311,51.2,South Australia
350.3,2019-10-04,315.2,162.3,South Australia
375,2019-10-04,311.7,551.3,South Australia
368.9,2019-10-04,326.7,83.4,South Australia
340.3,2019-10-04,293.7,31.1,South Australia
347.6,2019-10-04,313.2,32.3,South Australia
352.8,2019-10-04,316.2,47.5,South Australia
373.2,2019-10-04,293.2,106.9,South Australia
412,2019-10-04,330.2,307.5,South Australia
362.2,2019-10-04,323.2,66.9,South Australia
392.6,2019-10-04,307.4,214.7,South Australia
389.9,2019-10-04,316.7,193.2,South Australia
374.1,2019-10-04,328,109.9,South Australia
345.8,2019-10-04,324.3,24.1,South Australia
341.3,2019-10-04,323.8,23.7,South Australia
414.6,2019-10-04,320.1,365.7,South Australia
353.1,2019-10-04,327.3,40.5,South Australia
334.6,2019-10-04,320.4,10.9,South Australia
375,2019-10-04,313.1,108.6,South Australia
353.2,2019-10-04,321.4,41,South Australia
341.2,2019-10-04,317.4,18.8,South Australia
392.3,2019-10-04,324.6,189.6,South Australia
349,2019-10-04,324.9,16.7,South Australia
382.6,2019-10-04,329.8,126,South Australia
453.9,2019-10-04,339.8,740.3,South Australia
403.5,2019-10-04,330.5,244.5,South Australia
354.3,2019-10-04,318.1,46.9,South Australia
368.4,2019-10-04,325.5,87.8,South Australia
393.4,2019-10-04,326.3,186.6,South Australia
433.6,2019-10-04,340.1,491.2,South Australia
399.1,2019-10-04,334.6,221.9,South Australia
365.4,2019-10-04,320.1,72.6,South Australia
374.2,2019-10-04,327.8,96.4,South Australia
397.6,2019-10-04,330.7,206.8,South Australia
350,2019-10-04,322.4,30.9,South Australia
349.2,2019-10-04,323.9,32,South Australia
378.3,2019-10-04,329.7,112.9,South Australia
368.5,2019-10-04,306.5,105.3,South Australia
377.4,2019-10-04,327.1,107.1,South Australia
361.4,2019-10-04,327.3,51.6,South Australia
346.9,2019-10-04,321.3,27.8,South Australia
362.4,2019-10-04,326.2,67.3,South Australia
405.7,2019-10-04,335.3,280.8,South Australia
354.9,2019-10-04,313.1,47,South Australia
368.3,2019-10-04,321.7,85.5,South Australia
400.8,2019-10-04,329.9,234.2,South Australia
400.7,2019-10-04,321.9,239.4,South Australia
358.8,2019-10-04,319.2,58.1,South Australia
378,2019-10-04,305.5,139.8,South Australia
345.1,2019-10-04,325.5,23.1,South Australia
342,2019-10-04,323.5,18.4,South Australia
349,2019-10-04,325,31.7,South Australia
352.3,2019-10-04,321.4,43.4,South Australia
347.1,2019-10-04,304.4,32.4,South Australia
342.7,2019-10-04,304.8,26.9,South Australia
379.9,2019-10-04,329,125.4,South Australia
347.9,2019-10-04,312.7,33.3,South Australia
370.1,2019-10-04,326.7,89.7,South Australia
348.7,2019-10-04,318.2,34,South Australia
358.4,2019-10-04,319.7,59.2,South Australia
380.1,2019-10-04,329.5,133.3,South Australia
357.9,2019-10-04,321.5,53.8,South Australia
350,2019-10-04,317,37.4,South Australia
364,2019-10-04,318.3,73,South Australia
367.9,2019-10-04,299.2,87.5,South Australia
398.4,2019-10-04,328.6,218.2,South Australia
414.5,2019-10-04,331.2,330.5,South Australia
390.4,2019-10-04,327.2,176.8,South Australia
406.8,2019-10-04,331.6,270,South Australia
341,2019-10-04,321.5,19.4,South Australia
336.4,2019-10-04,303.5,16.5,South Australia
373.6,2019-10-04,321.8,103.9,South Australia
387.8,2019-10-04,323.6,163.3,South Australia
384.3,2019-10-04,324.1,147,South Australia
443.7,2019-10-04,400.1,611.5,South Australia
337.1,2019-10-04,324.4,10.6,South Australia
336.9,2019-10-04,324.3,12.3,South Australia
347.5,2019-10-04,323.3,29.6,South Australia
342.2,2019-10-04,324.7,19.7,South Australia
395.2,2019-10-04,333.6,206.7,South Australia
344.7,2019-10-04,325.6,23.9,South Australia
404.3,2019-10-04,323.4,252.4,South Australia
386.1,2019-10-04,324.8,164,South Australia
371.1,2019-10-04,321.4,96.5,South Australia
362.5,2019-10-04,327.3,58.9,South Australia
350.8,2019-10-04,311.5,37.6,South Australia
359.1,2019-10-04,326.8,60.1,South Australia
360.7,2019-10-04,325.7,63.7,South Australia
376.8,2019-10-04,327.3,120.6,South Australia
335.5,2019-10-04,301.7,9.8,South Australia
351.6,2019-10-04,303.8,43.6,South Australia
362.2,2019-10-04,324.4,57.3,South Australia
357.5,2019-10-04,324.8,49.8,South Australia
356,2019-10-04,323.5,50.4,South Australia
364.9,2019-10-04,326.8,75.1,South Australia
386.8,2019-10-04,329.3,160.9,South Australia
346,2019-10-04,324.3,26.4,South Australia
350.4,2019-10-04,326.3,33.7,South Australia
342.3,2019-10-04,324.9,20.2,South Australia
367.9,2019-10-04,328.7,76.1,South Australia
362.7,2019-10-04,328.1,65.6,South Australia
371.6,2019-10-04,325.3,96.6,South Australia
363.2,2019-10-04,314.9,74,South Australia
375.4,2019-10-04,313.1,116.8,South Australia
445.7,2019-10-04,342.3,637.2,South Australia
446.5,2019-10-04,337.7,650.5,South Australia
380.8,2019-10-04,304.2,136.9,South Australia
358.5,2019-10-04,321.5,57.2,South Australia
345.6,2019-10-04,324,25.5,South Australia
427.3,2019-10-04,333.9,436.5,South Australia
367.9,2019-10-04,321.1,85,South Australia
350,2019-10-04,322.8,37.7,South Australia
340.5,2019-10-04,300,31.9,South Australia
381.8,2019-10-04,322.1,149.4,South Australia
351.9,2019-10-04,313.2,45.4,South Australia
336.3,2019-10-04,313.5,11,South Australia
365.2,2019-10-04,290.7,87,South Australia
334.1,2019-10-04,299.4,155.3,South Australia
349.1,2019-10-04,301.3,278,South Australia
316.5,2019-10-04,298.4,43.3,South Australia
316.1,2019-10-04,298.2,41.9,South Australia
312.6,2019-10-04,298.4,24.7,South Australia
315.7,2019-10-04,296.1,48.5,South Australia
322,2019-10-04,297.1,78.7,South Australia
331,2019-10-04,296.9,134.3,South Australia
314.5,2019-10-04,296.9,32.4,South Australia
310.2,2019-10-04,297.1,36.2,South Australia
319.2,2019-10-04,296.8,67.4,South Australia
326,2019-10-04,298.3,99.9,South Australia
326.4,2019-10-04,298.7,103.8,South Australia
335.9,2019-10-04,299.3,170.8,South Australia
345.7,2019-10-04,301.4,247.3,South Australia
318.4,2019-10-04,298.9,41.3,South Australia
309.7,2019-10-04,297.2,21.9,South Australia
329.3,2019-10-04,298.9,125.6,South Australia
341.5,2019-10-04,297.8,203.8,South Australia
327,2019-10-04,299.3,75.3,South Australia
323.4,2019-10-04,298.6,88.7,South Australia
307.3,2019-10-04,296.7,18.3,South Australia
345.3,2019-10-04,299,243.9,South Australia
325.5,2019-10-04,298.9,76.4,South Australia
313.7,2019-10-04,296.5,49.1,South Australia
314.2,2019-10-04,297.7,33.7,South Australia
310.5,2019-10-04,297.8,22.6,South Australia
349.7,2019-10-04,298.9,279.4,South Australia
315.5,2019-10-04,298.9,53,South Australia
326.7,2019-10-04,298.7,105.5,South Australia
323.2,2019-10-04,297.8,61.5,South Australia
343.3,2019-10-04,300.4,223.8,South Australia
326,2019-10-04,297.1,98.1,South Australia
316.6,2019-10-04,296.8,58.7,South Australia
335.8,2019-10-04,299.3,165.5,South Australia
328.8,2019-10-04,298.5,87,South Australia
315,2019-10-04,298.4,36.4,South Australia
351.6,2019-10-04,301.6,306.8,South Australia
350.1,2019-10-04,301.4,289.6,South Australia
322.1,2019-10-04,296.4,75.4,South Australia
328.4,2019-10-04,299.6,86.5,South Australia
320.8,2019-10-04,298.6,58.1,South Australia
325.5,2019-10-04,298.2,104.5,South Australia
316.6,2019-10-04,298.2,39.7,South Australia
311.2,2019-10-04,297.7,26,South Australia
357.9,2019-10-04,300.1,375.6,South Australia
308.5,2019-10-04,298.3,22.2,South Australia
317.9,2019-10-04,297,58.6,South Australia
311.9,2019-10-04,295.6,41.3,South Australia
317.9,2019-10-04,296.5,64.1,South Australia
316.4,2019-10-04,298.7,36.8,South Australia
332.4,2019-10-04,298,137.5,South Australia
321.5,2019-10-04,298,77,South Australia
342,2019-10-04,299.2,209.3,South Australia
320.1,2019-10-04,299.2,51.1,South Australia
327.4,2019-10-04,298.5,82.4,South Australia
324.3,2019-10-04,299.7,68.6,South Australia
314.5,2019-10-04,297.9,35.5,South Australia
328.8,2019-10-04,298.3,123.4,South Australia
308.1,2019-10-04,296.9,16.7,South Australia
332.3,2019-10-04,300.1,140,South Australia
308.4,2019-10-04,295.7,30.7,South Australia
314.1,2019-10-04,297.9,49.5,South Australia
338.1,2019-10-04,298.9,185.8,South Australia
318,2019-10-04,298.3,66.4,South Australia
324.2,2019-10-04,298.5,71.8,South Australia
348.6,2019-10-04,302.5,275.3,South Australia
326.3,2019-10-04,297.7,110.4,South Australia
322.7,2019-10-04,298.9,25.6,South Australia
323.5,2019-10-04,300.2,37.4,South Australia
352.4,2019-10-04,303.5,112.9,South Australia
314.8,2019-10-04,297.6,17.7,South Australia
312.2,2019-10-04,297.3,8.5,South Australia
329.8,2019-10-04,298.4,43.7,South Australia
311.6,2019-10-04,297.4,14.3,South Australia
327,2019-10-04,298.8,39,South Australia
308.9,2019-10-04,297,11.3,South Australia
309.3,2019-10-04,296.7,15.7,South Australia
315.9,2019-10-04,298.7,24.4,South Australia
309.4,2019-10-04,296.8,12.2,South Australia
315.8,2019-10-04,299.2,23.8,South Australia
307.2,2019-10-04,296.2,10.7,South Australia
319,2019-10-04,297.6,23.6,South Australia
354.7,2019-10-04,301.3,125.6,South Australia
334.3,2019-10-04,299.6,53.4,South Australia
338.4,2019-10-04,300.7,66.5,South Australia
311.7,2019-10-04,296.2,15.2,South Australia
320.9,2019-10-04,297.2,27,South Australia
325.8,2019-10-04,299.7,37.4,South Australia
