brightness,acq_date,bright_t31,frp,state
301.8,2019-10-01,283.1,11.4,Tasmania
302.7,2019-10-02,292.5,9.5,Tasmania
307.8,2019-10-02,293.3,13.3,Tasmania
308.3,2019-10-02,288.6,18,Tasmania
315.9,2019-10-03,292.7,13,Tasmania
304.6,2019-10-03,294.5,4.4,Tasmania
314,2019-10-03,287.4,15.3,Tasmania
312.7,2019-10-03,296.3,12.9,Tasmania
304.7,2019-10-03,294.1,5.9,Tasmania
324,2019-10-05,291.3,22.3,Tasmania
312.7,2019-10-05,287.8,11.6,Tasmania
314.1,2019-10-05,296.5,9.3,Tasmania
321.2,2019-10-05,295.6,18.2,Tasmania
306.3,2019-10-05,295.7,5.7,Tasmania
305.1,2019-10-05,293.6,4.6,Tasmania
315.7,2019-10-09,290.2,16.8,Tasmania
317.2,2019-10-09,291.6,17.9,Tasmania
323.2,2019-10-12,288.6,24,Tasmania
309.1,2019-10-12,283.7,11.3,Tasmania
306,2019-10-15,288.2,20.9,Tasmania
307,2019-10-15,286.5,21,Tasmania
301.4,2019-10-15,276.2,20.9,Tasmania
313.6,2019-10-21,297,10.5,Tasmania
308.3,2019-10-21,293,7,Tasmania
315.1,2019-10-21,298.5,10,Tasmania
311.8,2019-10-21,299.4,7.7,Tasmania
305,2019-10-21,293.7,6,Tasmania
305.8,2019-10-21,294.3,4.9,Tasmania
312.6,2019-10-21,300.3,7.1,Tasmania
322,2019-10-21,301.2,15.8,Tasmania
316.7,2019-10-21,295.9,12.6,Tasmania
312.4,2019-10-22,287.3,96.5,Tasmania
301.4,2019-10-22,290.3,17.4,Tasmania
302.4,2019-10-22,290.6,19.5,Tasmania
306.3,2019-10-22,293.4,7.1,Tasmania
328.9,2019-10-23,292.1,27.8,Tasmania
341.9,2019-10-23,290.3,52.9,Tasmania
332.8,2019-10-23,293.7,33.8,Tasmania
325.3,2019-10-23,290.9,25.2,Tasmania
327.5,2019-10-23,289.9,27,Tasmania
309.5,2019-10-23,293.3,7.9,Tasmania
332.3,2019-10-23,289.4,36.3,Tasmania
320.3,2019-10-23,291.6,19,Tasmania
313.1,2019-10-23,295.6,10.5,Tasmania
310.1,2019-10-23,293.7,8.4,Tasmania
311.5,2019-10-23,295.8,9.5,Tasmania
312.5,2019-10-23,301.9,5.9,Tasmania
329,2019-10-23,296.4,28.3,Tasmania
308.2,2019-10-23,280.8,12.2,Tasmania
307.5,2019-10-25,289.2,12.6,Tasmania
304.5,2019-10-25,290.2,9.4,Tasmania
306.4,2019-10-25,278.6,14.9,Tasmania
301.5,2019-10-28,289.7,4.7,Tasmania
324.7,2019-10-28,294,25,Tasmania
308.6,2019-10-29,294.4,46.6,Tasmania
302.9,2019-10-29,290.4,32.9,Tasmania
302.2,2019-10-29,291,29.9,Tasmania
310.2,2019-10-29,293.7,41,Tasmania
312.4,2019-10-29,291.4,54.9,Tasmania
306.6,2019-10-29,289.9,35.4,Tasmania
308.6,2019-10-29,291.2,40.9,Tasmania
304.2,2019-10-29,289.9,27.9,Tasmania
315.1,2019-10-29,300.4,40.9,Tasmania
313.1,2019-10-29,300.1,31.6,Tasmania
310.4,2019-10-29,290.8,52.4,Tasmania
347.3,2019-10-29,294.7,367.2,Tasmania
328.6,2019-10-29,292.5,160.1,Tasmania
340.9,2019-10-29,293.3,286.7,Tasmania
315.1,2019-10-29,291.4,66.8,Tasmania
322.4,2019-10-29,294.2,116.8,Tasmania
313.3,2019-10-29,297.8,47.8,Tasmania
315.6,2019-10-29,297.4,68.5,Tasmania
314,2019-10-30,299.4,8.9,Tasmania
310.6,2019-10-30,296.6,7.4,Tasmania
318.7,2019-10-30,296.4,14.3,Tasmania
319,2019-10-30,287.9,13.9,Tasmania
316,2019-10-30,288.4,11.5,Tasmania
413.1,2019-10-30,301.3,336.5,Tasmania
321,2019-10-30,288.8,16.2,Tasmania
309.8,2019-10-30,295.1,7.2,Tasmania
300.4,2019-10-30,280.2,7.9,Tasmania
348.9,2019-10-31,285.6,233.8,Tasmania
340.9,2019-10-31,280.8,166.5,Tasmania
359.7,2019-10-31,285.3,345.8,Tasmania
312,2019-10-31,269.5,36.5,Tasmania
354.6,2019-10-31,275.3,0,Tasmania
333.4,2019-10-31,276.9,0,Tasmania
321.5,2019-10-31,282.8,138.6,Tasmania
319.7,2019-10-31,282,123.5,Tasmania
305.1,2019-11-12,289.6,15,Tasmania
307.2,2019-11-15,278.2,12.9,Tasmania
334.6,2019-11-16,290.9,127.2,Tasmania
331.3,2019-11-16,287.8,110.3,Tasmania
342.2,2019-11-16,290.4,173.2,Tasmania
327.1,2019-11-16,288.1,94.2,Tasmania
379.5,2019-11-16,287.4,276.4,Tasmania
322,2019-11-16,281.6,38.6,Tasmania
351,2019-11-16,283.5,120.1,Tasmania
308.1,2019-11-16,276.6,19.1,Tasmania
307.3,2019-11-16,279,18.3,Tasmania
316.8,2019-11-16,276.2,113.7,Tasmania
323.1,2019-11-16,277.1,150.6,Tasmania
308.9,2019-11-16,285.4,9.6,Tasmania
331.2,2019-11-16,293.3,41.7,Tasmania
328.5,2019-11-16,291.6,36.1,Tasmania
347.2,2019-11-16,292.7,81.7,Tasmania
303.9,2019-11-17,292.3,4.3,Tasmania
325.3,2019-11-18,294.7,40.2,Tasmania
330.6,2019-11-18,295.1,52.6,Tasmania
331.9,2019-11-18,293.5,55.3,Tasmania
347.4,2019-11-18,294.4,106.2,Tasmania
313,2019-11-18,283.6,46.7,Tasmania
323,2019-11-18,294.8,41.4,Tasmania
320.7,2019-11-18,294.7,40,Tasmania
318.2,2019-11-18,296.1,32.2,Tasmania
345.5,2019-11-19,289.5,85,Tasmania
337.8,2019-11-19,294.7,61.8,Tasmania
359.4,2019-11-19,297.2,139.3,Tasmania
361.8,2019-11-19,297.5,153.9,Tasmania
328.3,2019-11-20,295,26.6,Tasmania
318.6,2019-11-20,293.8,15.1,Tasmania
347.2,2019-11-20,293,63.5,Tasmania
314.6,2019-11-20,297.4,32.4,Tasmania
315,2019-11-21,298,23.5,Tasmania
304.2,2019-11-22,292.5,5.7,Tasmania
319.8,2019-11-22,301.9,15.1,Tasmania
323.4,2019-11-23,286,37.4,Tasmania
303.5,2019-11-23,279.3,14.9,Tasmania
329.6,2019-11-23,296.6,33.3,Tasmania
347.5,2019-11-24,302.1,54.5,Tasmania
336,2019-11-24,294.8,33.8,Tasmania
341.3,2019-11-24,288.4,45.2,Tasmania
340.1,2019-11-24,286.3,43,Tasmania
331.6,2019-11-24,289.5,30.3,Tasmania
348.4,2019-11-24,292,60,Tasmania
325.9,2019-11-24,296.1,21.7,Tasmania
330.3,2019-11-24,297.8,27.3,Tasmania
311.1,2019-11-24,296.9,6.9,Tasmania
315.9,2019-11-28,300,32,Tasmania
314.1,2019-11-28,299.8,26.9,Tasmania
357.5,2019-12-03,294.9,89.6,Tasmania
356.1,2019-12-03,296.2,86.5,Tasmania
303.3,2019-12-03,278.4,15.4,Tasmania
307.2,2019-12-03,278.7,12.4,Tasmania
302.1,2019-12-03,278.5,9.1,Tasmania
303.4,2019-12-04,289.2,8.1,Tasmania
317,2019-12-04,288.1,31.7,Tasmania
314.7,2019-12-04,288.6,27.2,Tasmania
319,2019-12-04,293.1,37.1,Tasmania
340.6,2019-12-04,294.7,116.1,Tasmania
321.1,2019-12-04,293.2,45.1,Tasmania
326.4,2019-12-04,294.3,58.8,Tasmania
331.7,2019-12-04,294.3,79.6,Tasmania
302.8,2019-12-04,280.5,34.8,Tasmania
322.8,2019-12-05,297.4,25.7,Tasmania
410.9,2019-12-05,308.7,567.3,Tasmania
387.3,2019-12-05,307.7,320.7,Tasmania
337.7,2019-12-05,297.9,58.2,Tasmania
347.1,2019-12-05,298.4,90.6,Tasmania
317.2,2019-12-05,294.2,20.5,Tasmania
315.7,2019-12-05,284.2,16.9,Tasmania
308.1,2019-12-05,283.3,11.3,Tasmania
327,2019-12-05,286.8,29.8,Tasmania
320.4,2019-12-05,284.4,20,Tasmania
308.6,2019-12-05,282.5,12,Tasmania
326.3,2019-12-05,285,27.9,Tasmania
321.9,2019-12-05,285,22.4,Tasmania
313.2,2019-12-05,284.3,14.3,Tasmania
312,2019-12-05,284.3,13.9,Tasmania
317.1,2019-12-05,284.5,23.5,Tasmania
302.1,2019-12-05,282.5,9.9,Tasmania
365.5,2019-12-06,293.6,120.8,Tasmania
371.7,2019-12-06,292.2,146.3,Tasmania
352.5,2019-12-06,288.3,81,Tasmania
344.7,2019-12-06,292,61.2,Tasmania
338.3,2019-12-06,290.7,48.9,Tasmania
364.1,2019-12-06,270.3,158.3,Tasmania
329.2,2019-12-06,294.6,36.8,Tasmania
365.4,2019-12-06,299.3,155.2,Tasmania
350.8,2019-12-06,298.6,91.2,Tasmania
335.1,2019-12-06,296.5,44.7,Tasmania
353.4,2019-12-06,297.2,100.3,Tasmania
340.2,2019-12-06,295.8,63.5,Tasmania
345.8,2019-12-06,297.1,75.3,Tasmania
384.3,2019-12-06,304.5,265.4,Tasmania
356.5,2019-12-06,301.9,113.6,Tasmania
326.3,2019-12-06,293.9,33.3,Tasmania
341,2019-12-06,295.2,66.7,Tasmania
346.9,2019-12-06,298.7,81.5,Tasmania
338.7,2019-12-06,296.6,56.9,Tasmania
343.5,2019-12-06,294.9,73.8,Tasmania
307.7,2019-12-06,281.1,23,Tasmania
313.1,2019-12-06,280.7,29.7,Tasmania
335,2019-12-06,283.3,79.2,Tasmania
316.2,2019-12-06,283,33.7,Tasmania
361.4,2019-12-06,293.1,370.9,Tasmania
327.5,2019-12-06,290.8,95.7,Tasmania
326,2019-12-07,294.1,65.3,Tasmania
341,2019-12-07,298.9,121.5,Tasmania
324.6,2019-12-07,298.3,51.2,Tasmania
304.1,2019-12-07,283.5,8.8,Tasmania
303.1,2019-12-07,283.2,8,Tasmania
321.7,2019-12-08,294.1,14.7,Tasmania
316.8,2019-12-08,295.2,9.5,Tasmania
318.4,2019-12-08,296,9.7,Tasmania
317.5,2019-12-08,298.1,8.2,Tasmania
346.8,2019-12-08,292.8,51.5,Tasmania
324.3,2019-12-08,291.9,16.5,Tasmania
334.4,2019-12-08,293,28.9,Tasmania
351.7,2019-12-08,295.4,58.9,Tasmania
321.8,2019-12-08,273,17.8,Tasmania
344.4,2019-12-08,276.9,48.8,Tasmania
353.9,2019-12-08,282.4,72.2,Tasmania
353.4,2019-12-08,285.1,72.3,Tasmania
345.2,2019-12-08,282.5,55.1,Tasmania
331.7,2019-12-08,280.2,32.2,Tasmania
324.9,2019-12-08,278.7,24.2,Tasmania
313,2019-12-08,278.2,12.3,Tasmania
366.7,2019-12-08,286.1,370.1,Tasmania
300.5,2019-12-08,282.1,22.8,Tasmania
339.1,2019-12-08,284.3,152.6,Tasmania
342.6,2019-12-08,284,169.6,Tasmania
325.4,2019-12-08,283.1,87.3,Tasmania
326.2,2019-12-08,273,31.2,Tasmania
319,2019-12-08,285.1,22,Tasmania
326.9,2019-12-08,286.3,33.2,Tasmania
339.1,2019-12-09,299.5,50.7,Tasmania
315.8,2019-12-10,300.4,8.6,Tasmania
339.1,2019-12-10,297.7,36.9,Tasmania
370.9,2019-12-10,303.1,117.4,Tasmania
323.3,2019-12-10,294.7,17.1,Tasmania
337.3,2019-12-10,299.4,34.8,Tasmania
393.6,2019-12-10,306.8,216,Tasmania
382.1,2019-12-10,303.9,160.3,Tasmania
364.4,2019-12-10,297.9,95.8,Tasmania
357.1,2019-12-10,297.9,76.1,Tasmania
312.8,2019-12-10,296.9,7,Tasmania
377.9,2019-12-10,301.7,143.8,Tasmania
368.3,2019-12-10,298.5,107.7,Tasmania
370.8,2019-12-10,296.4,117.2,Tasmania
348.9,2019-12-10,293.9,57.3,Tasmania
320.2,2019-12-10,290.7,15.5,Tasmania
329.2,2019-12-10,292.2,26.1,Tasmania
317.4,2019-12-10,294,12,Tasmania
314.7,2019-12-12,297.7,12.2,Tasmania
345.9,2019-12-12,303.3,75.7,Tasmania
335.9,2019-12-12,301.7,48.5,Tasmania
337.3,2019-12-12,299,52.3,Tasmania
320.7,2019-12-17,302.4,9.1,Tasmania
317.1,2019-12-17,297,8.1,Tasmania
320.2,2019-12-17,297.3,12.4,Tasmania
337,2019-12-17,304,28.6,Tasmania
332.4,2019-12-17,302.2,22.6,Tasmania
308,2019-12-18,281.4,17.4,Tasmania
306.6,2019-12-18,282.5,14.6,Tasmania
315.1,2019-12-19,288.8,8.5,Tasmania
318.5,2019-12-19,287.5,12.6,Tasmania
331.3,2019-12-19,289.8,30,Tasmania
333.1,2019-12-19,289.8,30.6,Tasmania
345.4,2019-12-19,291,53.5,Tasmania
328.9,2019-12-19,288.7,25.6,Tasmania
322,2019-12-19,289.5,17.8,Tasmania
322.7,2019-12-20,300.9,32.7,Tasmania
320.1,2019-12-20,299.6,28.2,Tasmania
324.6,2019-12-21,297.8,26.5,Tasmania
