acq_date,count,max_brightness,max_bright_t31,max_frp,state
2019-10-01,1,28,9,11.4,Tasmania
2019-10-02,3,35,20,18.0,Tasmania
2019-10-03,5,42,23,15.3,Tasmania
2019-10-05,6,50,23,22.3,Tasmania
2019-10-09,2,44,18,17.9,Tasmania
2019-10-12,2,50,15,24.0,Tasmania
2019-10-15,3,33,15,21.0,Tasmania
2019-10-21,9,48,28,15.8,Tasmania
2019-10-22,4,39,20,96.5,Tasmania
2019-10-23,14,68,28,52.9,Tasmania
2019-10-25,3,34,17,14.9,Tasmania
2019-10-28,2,51,20,25.0,Tasmania
2019-10-29,18,74,27,367.2,Tasmania
2019-10-30,9,139,28,336.5,Tasmania
2019-10-31,8,86,12,345.8,Tasmania
2019-11-12,1,31,16,15.0,Tasmania
2019-11-15,1,34,5,12.9,Tasmania
2019-11-16,15,106,20,276.4,Tasmania
2019-11-17,1,30,19,4.3,Tasmania
2019-11-18,8,74,22,106.2,Tasmania
2019-11-19,4,88,24,153.9,Tasmania
2019-11-20,4,74,24,63.5,Tasmania
2019-11-21,1,41,24,23.5,Tasmania
2019-11-22,2,46,28,15.1,Tasmania
2019-11-23,3,56,23,37.4,Tasmania
2019-11-24,9,75,28,60.0,Tasmania
2019-11-28,2,42,26,32.0,Tasmania
2019-12-03,5,84,23,89.6,Tasmania
2019-12-04,9,67,21,116.1,Tasmania
2019-12-05,17,137,35,567.3,Tasmania
2019-12-06,26,111,31,370.9,Tasmania
2019-12-07,5,67,25,121.5,Tasmania
2019-12-08,24,93,24,370.1,Tasmania
2019-12-09,1,65,26,50.7,Tasmania
2019-12-10,17,120,33,216.0,Tasmania
2019-12-12,4,72,30,75.7,Tasmania
2019-12-17,5,63,30,28.6,Tasmania
2019-12-18,2,34,9,17.4,Tasmania
2019-12-19,7,72,17,53.5,Tasmania
2019-12-20,2,49,27,32.7,Tasmania
2019-12-21,6,51,27,26.5,Tasmania
2019-12-22,5,57,40,29.4,Tasmania
2019-12-31,106,152,49,697.2,Tasmania
2020-01-01,90,114,24,1205.4,Tasmania
2020-01-02,57,227,57,1617.1,Tasmania
2020-01-03,69,142,34,507.5,Tasmania
2020-01-04,18,178,33,818.9,Tasmania
2020-01-05,18,101,25,324.8,Tasmania
2020-01-06,47,114,27,330.7,Tasmania
2020-01-07,3,54,8,27.3,Tasmania
2020-01-09,25,108,38,162.7,Tasmania
2020-01-10,1,29,13,4.9,Tasmania
2020-01-11,6,90,27,93.1,Tasmania
