"latitude","longitude","brightness","acq_date","bright_t31","frp"
"-14.281","143.636","323.9","2019-10-01","302.3","26.8"
"-14.284","143.532","343.5","2019-10-01","306.3","84.3"
"-14.302","143.706","320.2","2019-10-01","305","14.1"
"-14.283","143.652","320.4","2019-10-01","303.3","18.4"
"-14.285","143.521","349.4","2019-10-01","304.7","110.7"
"-14.273","143.589","328.1","2019-10-01","304.6","32.4"
"-14.768","141.792","324.3","2019-10-01","308.1","24"
"-14.304","143.512","338","2019-10-01","304","66.1"
"-14.267","143.557","329.3","2019-10-01","304.2","34.2"
"-14.307","143.528","331.1","2019-10-01","305.2","40.8"
"-14.274","143.523","337.7","2019-10-01","303.2","62.7"
"-14.298","143.546","323.3","2019-10-01","305.3","18.7"
"-14.293","143.514","329.7","2019-10-01","303.6","40.4"
"-14.281","143.516","340.3","2019-10-01","302.8","73.8"
"-15.99","144.631","337.2","2019-10-01","307.7","40.4"
"-12.098","142.316","322","2019-10-01","296","42.2"
"-13.365","141.954","323.1","2019-10-01","302.7","43.1"
"-16.934","143.176","334","2019-10-01","307.2","43.4"
"-15.992","144.644","324","2019-10-01","307.5","13.3"
"-15.904","144.601","338.2","2019-10-01","307","45.6"
"-15.906","144.614","351.9","2019-10-01","308.9","86.2"
"-15.908","144.626","333.4","2019-10-01","307.1","34.5"
"-15.932","144.537","321.5","2019-10-01","307.8","8.8"
"-15.98","144.633","337","2019-10-01","310.6","38.7"
"-15.982","144.645","333.4","2019-10-01","308.4","30.4"
"-16.988","143.292","341.1","2019-10-01","310.9","58"
"-17.056","143.35","351.7","2019-10-01","313.7","93.3"
"-18.317","142.437","328.7","2019-10-01","310.2","23.1"
"-16.834","139.103","311.9","2019-10-01","301.1","43.5"
"-18.306","142.439","332.9","2019-10-01","311.8","33.3"
"-17.006","138.957","330.8","2019-10-01","307.7","91.6"
"-17.016","138.948","327.7","2019-10-01","306.5","74.6"
"-18.32","142.454","333.5","2019-10-01","312.4","35.2"
"-12.453","141.71","321.8","2019-10-01","300.4","42.1"
"-15.376","145.262","325.5","2019-10-01","299.5","25.5"
"-13.359","141.948","334.4","2019-10-01","303.4","93.9"
"-16.985","143.208","325.4","2019-10-01","309.7","15.7"
"-13.361","141.933","337.5","2019-10-01","302.9","110.6"
"-16.824","139.137","312.4","2019-10-01","301.9","47"
"-17.215","143.406","336","2019-10-01","312.8","33.6"
"-17.07","143.363","340.4","2019-10-01","313.3","48.8"
"-17.215","143.4","339.4","2019-10-01","313.7","45.2"
"-17.226","143.398","326.8","2019-10-01","311.8","14.4"
"-12.405","141.799","319.1","2019-10-01","300.1","25.3"
"-13.35","141.973","329.3","2019-10-01","304.2","63.8"
"-17.022","138.979","322.9","2019-10-01","306.4","40.6"
"-18.323","142.47","333.3","2019-10-01","312.3","32.5"
"-12.081","141.851","321.3","2019-10-01","299.9","41.1"
"-26.205","146.667","334.6","2019-10-01","309.9","20.7"
"-17.001","143.299","341.1","2019-10-01","311.1","54.7"
"-17.018","143.332","330.3","2019-10-01","312","22.9"
"-17.042","143.337","373.2","2019-10-01","314.8","217.7"
"-17.028","143.325","332.3","2019-10-01","312.7","28.6"
"-17.017","143.327","334.2","2019-10-01","313.2","32.4"
"-17.004","143.319","352.3","2019-10-01","313.7","99.6"
"-17.004","143.314","356","2019-10-01","314.7","116.3"
"-17.002","143.304","359.2","2019-10-01","313","133.2"
"-26.204","146.657","358.5","2019-10-01","311.7","68.6"
"-26.202","146.647","359.9","2019-10-01","311.7","72.3"
"-13.355","141.927","324.9","2019-10-01","302.3","52.4"
"-16.961","143.265","333","2019-10-01","310.2","35.2"
"-16.958","143.25","363.1","2019-10-01","312.5","160.3"
"-16.953","143.22","328.2","2019-10-01","309","20.9"
"-16.947","143.252","332","2019-10-01","308.3","34.3"
"-16.941","143.222","336","2019-10-01","306.5","44.8"
"-16.939","143.207","340.2","2019-10-01","306.9","58.4"
"-16.936","143.191","327.1","2019-10-01","306.5","22.4"
"-12.077","141.828","317.5","2019-10-01","298.4","27.2"
"-26.195","146.659","326.1","2019-10-01","311.2","10.7"
"-26.193","146.648","354.2","2019-10-01","312.2","58.8"
"-17.083","143.376","347.7","2019-10-01","315","76"
"-17.107","143.38","332.3","2019-10-01","314.1","23.5"
"-17.132","143.391","340.7","2019-10-01","314.3","47.4"
"-17.146","143.403","348.1","2019-10-01","315.1","75.2"
"-16.991","143.306","340.9","2019-10-01","311.9","56.3"
"-26.192","146.638","338.1","2019-10-01","309.4","26.8"
"-11.649","142.132","349","2019-10-01","294.6","193.5"
"-12.683","142.054","335.8","2019-10-01","302.9","93.4"
"-12.687","142.076","321.4","2019-10-01","303","27"
"-13.355","141.979","327.7","2019-10-01","302.8","55.1"
"-12.4","141.775","321.3","2019-10-01","300.4","32.8"
"-13.351","141.957","327.7","2019-10-01","304","57.4"
"-32.459","146.845","323.7","2019-10-01","304.5","13.9"
"-34.214","142.313","325.6","2019-10-01","306.8","14.5"
"-34.221","142.299","325.3","2019-10-01","308.1","13.2"
"-38.321","145.605","319.5","2019-10-01","290.8","21.2"
"-32.461","146.857","319.3","2019-10-01","304.2","7.7"
"-27.556","147.197","324.1","2019-10-01","310.3","8.5"
"-37.532","143.458","327.8","2019-10-01","291","26.7"
"-28.766","148.178","345.6","2019-10-01","309","49"
"-31.613","150.134","321.4","2019-10-01","303.3","17.6"
"-28.776","148.177","329.9","2019-10-01","308.7","17.6"
"-28.774","148.165","354.6","2019-10-01","310.7","73.6"
"-27.555","147.186","322.3","2019-10-01","309.5","6.5"
"-30.969","147.259","331.6","2019-10-01","306","22"
"-36.136","143.597","317.9","2019-10-01","299.1","11"
"-36.137","143.608","318.3","2019-10-01","299.5","11.1"
"-36.694","140.364","321.4","2019-10-01","298.6","18.8"
"-42.774","146.863","301.8","2019-10-01","283.1","11.4"
"-34.985","146.807","314.6","2019-10-01","300.4","8.2"
"-37.383","145.003","303.3","2019-10-01","291.3","4.9"
"-32.689","147.217","326.8","2019-10-01","305.9","17.6"
"-37.386","141.291","318.2","2019-10-01","293.4","15.9"
"-38.215","143.866","304.3","2019-10-01","291.8","5.6"
"-37.816","145.299","306.2","2019-10-01","292.9","4.1"
"-37.27","144.481","306.9","2019-10-01","292.4","6.5"
"-37.843","145.281","308.1","2019-10-01","294","5.2"
"-37.902","145.25","306.7","2019-10-01","292.2","3.7"
"-37.378","142.111","310","2019-10-01","293.8","8.6"
"-37.38","142.123","321.2","2019-10-01","293.7","18.4"
"-26.731","145.733","325.1","2019-10-01","310.8","8.8"
"-12.987","132.578","335.6","2019-10-01","304.4","103.3"
"-12.07","134.281","321.1","2019-10-01","298.3","69.9"
"-12.059","134.276","319.2","2019-10-01","298.3","55.6"
"-12.983","132.544","324.1","2019-10-01","301.8","34.3"
"-12.465","132.504","330.1","2019-10-01","304.6","58.5"
"-12.568","132.089","325.3","2019-10-01","307.6","32.3"
"-12.987","132.571","340.8","2019-10-01","304.4","147.5"
"-12.984","132.551","336.1","2019-10-01","302","108"
"-11.414","130.229","330.1","2019-10-01","299.9","52.3"
"-11.419","130.221","325.2","2019-10-01","299","35.9"
"-13.291","132.319","337.4","2019-10-01","304.4","98.3"
"-13.287","132.3","325.3","2019-10-01","303","25"
"-13.29","132.326","334.6","2019-10-01","305.2","78"
"-13.454","132.431","327.2","2019-10-01","306.6","43.6"
"-11.819","130.93","327.8","2019-10-01","306.5","39.1"
"-11.834","130.948","325","2019-10-01","305.4","31.7"
"-12.416","132.73","323.1","2019-10-01","304.6","30.7"
"-12.055","134.24","320.3","2019-10-01","298.8","60.1"
"-12.417","132.737","322.9","2019-10-01","304.4","33.8"
"-11.832","130.928","323.7","2019-10-01","305.9","26"
"-12.066","134.245","325","2019-10-01","298.1","97.5"
"-16.17","128.315","338.6","2019-10-01","316.9","38"
"-16.5","123.882","363.2","2019-10-01","313.6","76.7"
"-16.508","123.875","331.6","2019-10-01","313.1","13.7"
"-16.717","124.813","347.9","2019-10-01","314.4","40.8"
"-13.908","132.965","325.2","2019-10-01","309.1","40.5"
"-13.923","132.963","325.7","2019-10-01","309.4","42.7"
"-13.919","132.957","328","2019-10-01","309.5","56.8"
"-28.089","131.654","349.8","2019-10-01","309.9","341.3"
"-28.072","131.655","351.1","2019-10-01","311","362.3"
"-16.726","124.811","341.6","2019-10-01","311.6","29.2"
"-14.308","127.003","336.5","2019-10-01","314.9","23.2"
"-14.31","127.014","331.7","2019-10-01","312.2","15.6"
"-14.319","127.013","341","2019-10-01","312.6","33"
"-16.728","124.821","337.7","2019-10-01","314.9","22.3"
"-16.734","124.814","332.3","2019-10-01","311.3","15.8"
"-16.587","127.718","330.4","2019-10-01","319","14.6"
"-14.295","126.982","338.3","2019-10-01","314.8","25.4"
"-14.304","126.969","342.1","2019-10-01","314.1","34.7"
"-14.312","126.956","347.7","2019-10-01","310.1","48.7"
"-14.313","126.968","385.3","2019-10-01","317.1","207.4"
"-14.322","126.955","358.3","2019-10-01","311.6","80.3"
"-28.084","131.659","357.1","2019-10-01","310.6","463.8"
"-13.885","132.93","328.8","2019-10-01","310.6","56.1"
"-16.613","124.795","343.1","2019-10-01","317.8","28.4"
"-16.62","124.774","332.4","2019-10-01","314.3","12"
"-15.478","129.991","333","2019-10-01","310.5","42.8"
"-15.479","129.985","331.6","2019-10-01","309.9","37.8"
"-16.621","124.784","335.1","2019-10-01","316.2","14.7"
"-16.629","124.772","335.8","2019-10-01","314.2","14.7"
"-14.194","132.849","329.5","2019-10-01","312.5","50.2"
"-14.179","132.851","329.6","2019-10-01","314","50.5"
"-14.163","132.852","342.9","2019-10-01","313.7","160.5"
"-14.16","132.822","345.5","2019-10-01","314.2","188.3"
"-14.167","132.857","338","2019-10-01","313.6","113.1"
"-28.081","131.619","325.5","2019-10-01","309.3","56.4"
"-14.163","132.827","343.5","2019-10-01","314.8","166.2"
"-14.148","132.829","336.6","2019-10-01","311","104.5"
"-14.323","126.966","343.3","2019-10-01","313.5","32.7"
"-28.067","131.66","339.9","2019-10-01","309.9","202.8"
"-16.499","123.873","368.6","2019-10-01","315.9","93.1"
"-16.497","123.863","339.4","2019-10-01","313.9","23.7"
"-16.478","123.857","336.3","2019-10-01","312.1","18.5"
"-16.179","128.299","351.1","2019-10-01","315.4","84.3"
"-16.181","128.314","375.5","2019-10-01","318.6","224.5"
"-13.845","132.821","350.4","2019-10-01","310.8","260.1"
"-13.848","132.85","338.6","2019-10-01","309.4","138.7"
"-13.851","132.88","339.1","2019-10-01","309.6","145.5"
"-16.181","128.308","367.7","2019-10-01","318.3","174.2"
"-16.182","128.323","339.2","2019-10-01","317.6","41"
"-14.09","130.028","336.6","2019-10-01","310.4","45.7"
"-14.078","130.03","333.6","2019-10-01","309.2","35.5"
"-15.456","126.904","342.7","2019-10-01","317.2","29"
"-15.457","126.91","344.3","2019-10-01","317.3","32.4"
"-15.45","126.934","343.1","2019-10-01","321.1","31.5"
"-15.448","126.923","349.4","2019-10-01","319.8","48.4"
"-15.438","126.924","355.3","2019-10-01","318.2","70.3"
"-15.434","126.889","337.8","2019-10-01","318.8","20.1"
"-16.494","124.218","331.5","2019-10-01","311.7","14.1"
"-28.297","128.428","335.8","2019-10-01","317","46.8"
"-28.277","128.571","338.8","2019-10-01","314.1","75.1"
"-28.272","128.351","336","2019-10-01","316.4","59.7"
"-28.27","128.328","336.6","2019-10-01","315.7","64.8"
"-14.937","133.918","325.8","2019-10-01","309.5","60.1"
"-28.268","128.554","368.4","2019-10-01","319","326.7"
"-13.854","132.909","325.9","2019-10-01","309.1","47.4"
"-15.53","134.469","328.3","2019-10-01","295.4","137.3"
"-28.275","128.334","338.4","2019-10-01","314.9","74.9"
"-14.95","133.923","325.6","2019-10-01","308.7","54.4"
"-28.27","128.579","346.3","2019-10-01","315.5","127.6"
"-15.68","134.527","334","2019-10-01","302.3","194.1"
"-15.493","134.639","327.9","2019-10-01","301.8","106.4"
"-28.266","128.53","341.4","2019-10-01","316.7","88.4"
"-28.254","128.555","343.3","2019-10-01","315.8","106.7"
"-15.49","134.779","327.4","2019-10-01","303.3","110"
"-28.275","128.547","342.8","2019-10-01","316.3","96"
"-28.306","128.525","340.4","2019-10-01","315.3","75.1"
"-13.873","132.938","333.8","2019-10-01","310.2","97.9"
"-28.314","128.518","338.1","2019-10-01","313","70.7"
"-15.68","134.521","337.3","2019-10-01","301.7","242.1"
"-15.491","134.784","327.9","2019-10-01","303.4","124.5"
"-15.53","134.462","327.2","2019-10-01","296.7","132.3"
"-29.114","123.001","363.5","2019-10-01","315.3","93.5"
"-14.933","133.925","325.6","2019-10-01","310.1","54.7"
"-15.495","134.646","328.5","2019-10-01","301.7","116.7"
"-13.87","132.907","331","2019-10-01","310.1","73.8"
"-15.588","126.75","335","2019-10-01","320.7","15.9"
"-16.469","123.858","350","2019-10-01","313.2","43.4"
"-15.562","126.707","344.2","2019-10-01","318.5","38.6"
"-15.554","126.72","346.3","2019-10-01","321.9","41.4"
"-15.552","126.709","346.6","2019-10-01","320.2","43.7"
"-15.537","126.745","342.9","2019-10-01","319.6","29.3"
"-15.538","126.757","347.6","2019-10-01","321.9","42"
"-15.564","126.718","338.9","2019-10-01","320","24.3"
"-30.867","121.496","323.4","2019-10-01","309.8","8.7"
"-30.865","121.485","323.4","2019-10-01","308.9","8.7"
"-32.855","116.434","326.8","2019-10-01","294.4","27.3"
"-32.856","116.428","332.3","2019-10-01","292.3","37.3"
"-31.61","150.139","316.3","2019-10-01","294.7","49.4"
"-31.605","150.135","317.5","2019-10-01","296.8","57.2"
"-34.834","135.787","324.6","2019-10-01","298.9","20.4"
"-34.824","135.796","327.9","2019-10-01","300.4","23.4"
"-34.833","135.798","376.5","2019-10-01","304.2","146.7"
"-34.219","142.304","359.4","2019-10-01","315.7","126.5"
"-32.468","146.846","319","2019-10-01","305.1","30.4"
"-34.216","142.32","327.2","2019-10-01","310.7","23"
"-37.655","141.305","318.1","2019-10-01","299.4","16.2"
"-36.041","146.975","307.7","2019-10-01","296.7","16.1"
"-36.048","146.947","309.8","2019-10-01","298.3","21.1"
"-37.657","141.292","337.5","2019-10-01","299.3","44.8"
"-37.137","141.141","315.8","2019-10-01","299.2","12.5"
"-37.139","141.128","338.9","2019-10-01","300.3","46.8"
"-37.13","141.125","332.7","2019-10-01","303.1","34.6"
"-35.71","137.105","314.3","2019-10-01","299.1","9.5"
"-15.574","134.454","347.4","2019-10-01","318","34.3"
"-15.491","134.778","343.1","2019-10-01","321.1","27.3"
"-15.514","134.5","427","2019-10-01","332.4","486.9"
"-15.494","134.507","340.3","2019-10-01","318.2","25.1"
"-13.878","132.926","357.7","2019-10-01","322.2","53.6"
"-13.87","132.916","343.6","2019-10-01","320.9","22"
"-15.539","134.812","356.3","2019-10-01","319.4","56.9"
